HomeType,Latitude,Longitude,mercator_x,mercator_y,SizeRank,Zip,State,City,Metro,CountyName,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
Five Bedrooms And More,29.691714,-95.64978,-10647684.804088643,3463983.786007317,481,77083,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,122470,122738,122868,123159,123334,123443,123710,124138,124900,125661,126415,127008,126830,126459,126098,126418,126661,127008,127121,127289,126994,126616,126299,126275,127359,128370,129235,129197,129377,129581,129748,129591,129290,129261,129049,128958,128846,129304,130415,131460,132792,133765,134828,135459,136659,137594,138992,139742,140385,140696,140481,140721,140288,140249,139950,140387,140181,140296,140048,140920,141033,141118,140730,140694,141026,141452,142060,142354,143012,143400,144011,143845,144274,144590,145626,146252,146797,147027,147047,147023,147001,147066,147161,147433,147713,147957,147597,147205,147061,147411,148321,149284,150164,150985,151605,152060,152666,154030,156495,158913,160955,162580,163297,164539,165450,167149,168466,170116,171243,171673,171232,170992,170651,170240,170236,169867,169898,169165,168921,168552,168562,169059,169870,170699,171706,172390,173424,173822,174561,174600,175003,175355,176175,176297,176002,175506,175288,175703,175925,177168,178113,179710,180348,180643,179852,178727,177974,177283,176814,176000,175293,173874,172501,171556,171178,170898,170705,171542,171979,172830,172725,173051,173223,173733,173707,173289,172958,172901,173109,172793,173145,172739,172839,172350,171560,170237,168956,168058,167464,167107,166647,165884,164021,162669,161539,161033,160320,160094,160485,161014,160743,160137,159614,159617,160351,161060,161586,161879,162734,163469,163895,163844,164454,165094,165683,166317,167270,169119,171016,172853,174515,176590,178466,180228,181684,183153,185006,186809,188790,189530,190048,190678,191771,192631,193870,195692,197751,199659,201432,203082,204301,205335,206818,207943,209040,210070,211126,211728,211966,212634,213477,214319,215036,216368,217660,219055,220016,220404,221058,221611,222756,223761,224204,225040,225600,226233,226486,227092,227742,229302,230052,231250,231382,232068,233079,234005,234982,235842,236713,237251,237437,237359,237616,237556,238543,238554,239266,239138,239670,239337,239887,240887,242753,243594,243908,244286,244467,244651,244235,244506,244935,245922,246436,246848,246945,247964,249561,251361,253207,255642,258382
Condominium and Co-operative Homes,29.691714,-95.64978,-10647684.804088643,3463983.786007317,481,77083,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,72751,72636,72680,72596,72460,71847,70956,70578,70458,70526,70314,70407,70532,70301,69946,69510,69707,70042,70823,70891,71192,71620,71946,71584,71116,71399,71521,71812,71097,71222,71234,71391,70635,69362,69069,69315,69801,69988,70112,70184,70496,70823,71271,71623,72159,72562,72514,72352,72115,71886,71886,72097,72650,72932,73009,73015,72792,73003,73297,74086,74420,74739,74826,74981,74923,74691,74513,74374,74825,75344,75762,75518,75432,75572,75699,75683,75542,75802,76282,77021,77411,77264,77181,77337,78045,78374,79002,79502,80566,81908,82836,83164,83091,83563,84182,84859,85429,86474,87689,88537,88704,87962,87997,88790,90000,90823,90888,90954,90858,90687,89903,89793,89635,90309,90106,89956,89901,90160,90938,91922,92253,92433,93089,93651,94617,94433,95082,95256,95573,95591,95147,94636,94700,94971,94883,94727,94675,95133,95204,95493,95579,95189,94999,95019,95627,95994,95872,94761,92979,91320,89714,87951,86091,85237,85014,84712,83174,81456,80234,79978,79798,79663,79629,80001,80118,79843,79268,78194,77232,75581,74300,73162,72881,72640,71926,70914,70285,69835,69030,68210,68167,68739,68823,68440,67694,67462,66998,66633,66336,66324,66515,66636,66259,66403,66663,67152,67641,67409,68071,68037,67959,67325,67136,67322,67518,67473,67738,67920,67678,67766,67998,69261,70223,71141,71157,71136,71605,72250,72891,73661,74824,75474,75001,74397,75067,76048,77771,78863,79399,79527,79450,80005,80319,81065,82196,83257,82806,82419,81537,82220,83375,84793,86070,85818,85985,86123,87158,87693,88492,89081,90366,90886,91131,91115,91458,92488,93312,94126,94691,95210,95881,96355,96850,96850,96802,96706,96707,97461,98394,99579,100129,100585,101145,102313,103877,105680,107424,108627,109347,109729,110117,110203,110808,112085,112882,112589,110795,109524,108620,108828,109371,109379,109388,109584,109852,109800,110091,111066,113067,114877,116625
Single-family Residences,29.691714,-95.64978,-10647684.804088643,3463983.786007317,481,77083,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,90543,90521,90506,90543,90621,90704,90795,90890,90989,91082,91219,91386,91253,91109,90993,91123,91179,91199,91168,91187,91248,91358,91493,91628,92220,92783,93280,93299,93379,93563,93830,94057,94313,94619,94840,95029,95197,95645,96353,97181,98021,98749,99548,100282,100885,101304,101715,102148,102551,102893,103021,103260,103207,103316,103288,103613,103966,104501,105109,105746,106046,106070,105863,105813,105898,106088,106341,106390,106530,106577,106712,106835,107116,107570,108243,108919,109726,110396,110948,111470,112023,112566,112984,113359,113843,114197,114393,114530,114713,115040,115386,115736,115903,116221,116463,116799,117172,118025,119361,120559,121572,122260,123004,123801,124734,125649,126635,127496,128238,128502,128497,128403,128298,128213,128313,128397,128449,128257,128201,128080,128069,128170,128274,128527,128841,129317,129635,129785,129926,130029,130052,130302,130738,131027,131230,131329,131594,131754,131735,132018,132340,132795,133036,133031,132575,131936,131060,130152,129022,128066,127241,126349,125412,124638,123840,123170,122543,122196,121811,121651,121561,121642,122013,122208,122324,122149,122329,122322,122166,122070,122544,122885,123185,122967,122339,121613,120929,120429,119844,119379,119028,118462,117553,116656,115919,115290,114782,114429,114104,113967,113461,113201,112911,112862,112725,112624,112480,112467,112492,112366,112370,112232,112587,112887,113349,113857,114663,115848,116991,118169,119276,120830,122233,123589,124708,125683,126780,127930,129056,129949,130755,131869,133244,134511,135784,136974,138291,139642,141136,142517,143935,144875,145866,146561,147237,147919,148805,149900,150619,151297,151922,152504,152866,153571,154639,155660,156561,157205,157830,158300,159355,160533,161344,162336,163357,164449,165007,165730,166396,167139,167504,168129,168599,169288,169956,170378,170847,171491,172362,173066,173682,174372,175446,176432,177200,177586,178527,179457,180280,180373,180905,181781,183001,183918,184415,184720,184973,185194,185260,185583,186285,187342,188155,188874,189524,190499,191835,193473,195448,197777,200153
One Bedroom,29.741565,-95.55996,-10637686.087425591,3470373.501059995,852,77042,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50773,50359,50338,50416,50756,50897,50779,50508,50045,49488,48980,48539,48138,48108,47964,47357,46380,45715,45566,45652,46003,46317,46728,46833,46875,46668,46464,46481,46452,46340,45891,45349,44780,44429,43733,43292,42819,42589,42293,41944,41798,41576,41364,41117,40772,40490,40417,40525,40608,40827,41006,41335,41439,41559,41713,41926,42190,42064,41830,41266,41094,40764,40510,40138,39971,40025,40254,40648,41072,41755,42603,43634,44251,44710,45113,45499,45765,46145,46500,46840,47030,47244,47523,47954,48556,49062,49913,50942,52347,53196,53984,54703,55478,55948,56061,56173,56413,57092,57305,57476,57394,57702,57897,57696,57540,57735,58381,58662,58703,58689,59258,59753,60197,60612,61194,62011,62861,63566,64202,65250,66415,67423,67732,68234,68590,68798,68806,69287,69940,70665,71007,71143,71323,71337,71438,71365,71381,71703,71971,72346,72510,72768,72933,73236,73121,73389,73502,73799,73923,73986,74206,74069,74015,73893,74055,74152,74536,74752,75174,75513,75985
Two Bedrooms,29.741565,-95.55996,-10637686.087425591,3470373.501059995,852,77042,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,61883,61927,61950,61975,62092,61918,61803,61456,61350,61275,61452,61636,61642,61488,61239,61113,60834,61035,61109,61514,61524,61535,61220,60849,60511,60186,60216,60234,60479,60469,60582,60578,60661,60637,60542,60573,61024,61872,62253,62419,62115,62039,61792,61741,61817,62045,62427,62688,62798,62682,62714,62810,63084,63298,63667,63984,64287,64377,64507,64629,64612,64537,64254,64030,63931,63856,63643,63090,62691,62600,62785,62842,63035,63086,63395,63783,64152,64493,65031,65789,66493,66864,67081,67351,67562,67842,67969,68038,67959,68238,68401,68769,68840,69088,69359,69752,70095,70662,71532,72453,73562,74239,74891,75350,75788,76416,76508,76854,77161,77667,77925,78002,77923,77807,77695,77614,77754,77621,77894,77911,78248,78365,78430,78167,78055,78094,78533,78632,78838,78979,79310,79607,79865,79770,79822,80322,80904,81169,81048,81365,81746,82003,81950,81740,81319,80881,80517,80048,79495,79051,78739,78093,77164,76438,75952,75742,75573,75652,75486,75455,75341,75547,75517,75779,76103,76567,76880,76895,76697,76375,76106,75774,75606,75406,74953,74158,73362,72682,72201,71788,71340,70889,70441,70105,69629,68876,68765,68811,68982,68708,68347,68097,68048,68144,68365,68555,68596,68766,68750,69045,69313,69809,70074,70330,70777,71489,72421,73229,74282,75272,76289,76997,77705,78616,79853,81172,82213,82967,83384,84033,84660,85418,86328,87456,88729,89428,90076,90697,91517,92265,93282,94265,95361,96299,96819,97169,97447,98328,98819,99220,99800,100593,101041,101021,100865,101115,101585,101917,102019,102094,102878,103666,104094,104317,104836,105678,106515,107024,107378,107976,108635,109170,109355,109639,109986,110275,110542,111160,111697,112262,112804,113479,114064,114423,114640,115044,115730,116412,116705,116633,116678,117123,117621,117945,117578,117430,117324,117441,117291,117258,117572,117951,118358,118585,118889,119294,120352,121485,122818,123992,125363
Three Bedrooms,29.741565,-95.55996,-10637686.087425591,3470373.501059995,852,77042,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,179328,180322,181759,184381,186756,188140,187702,188975,190964,193390,193992,195081,197701,199357,199138,197296,195702,194904,197283,197734,196751,194088,193325,192054,188832,187003,186335,186705,186565,186695,185074,181868,179007,177658,177107,175622,173867,172613,172768,174058,175780,177805,180305,183169,185848,187822,190061,193938,198294,200815,201080,200814,200978,201670,202380,203723,204367,205032,205146,204867,203972,204090,204564,205004,205030,204690,204694,204427,205065,205534,205963,205727,205682,205278,205638,206525,207543,208779,209458,210388,210749,211218,211429,212282,213400,214281,214179,213584,213149,213108,213686,214175,214799,215145,215888,215732,215659,216911,219507,222004,223573,223917,223922,223710,223544,223736,223776,224993,225969,226648,226417,226539,226445,227391,228228,229783,230982,231711,232650,232577,233370,233044,233757,233455,234390,234447,235315,235595,236185,236907,237238,238202,238405,238859,238404,238678,238892,239477,238981,238783,238953,239239,239673,239801,239641,239217,238613,238155,237347,236723,237130,238309,239091,239775,238981,238230,237988,238323,238798,239089,239615,240576,241109,240474,239390,237980,238467,238825,238614,238455,238944,239695,239859,239109,237534,235593,234119,233636,233591,233452,233083,232305,230750,229703,228910,228826,229104,229548,229995,230230,229237,228871,228819,229508,230309,230124,230773,231062,232528,233928,235893,237306,239785,242015,244788,247542,251702,256799,261219,265329,268600,272116,275320,278947,282573,286048,289662,293311,295433,297371,298713,300752,303148,306582,310959,315004,318400,320803,322469,323315,325184,327173,330341,333361,335559,336896,335803,334987,333443,333886,335429,337503,338126,336895,334922,333496,332829,332969,333662,334635,335937,336946,336802,336314,336001,336984,338505,339727,340789,340353,340516,339845,339516,338599,337710,337243,337772,338792,339282,338784,338143,337682,336937,336372,336257,336683,337732,338550,339012,339129,339876,340956,341086,341289,340957,342025,342604,343241,343582,344140,345028,345610,346073,346972,348854,351035,353810,355775,358039,360373,362938
Four Bedrooms,29.741565,-95.55996,-10637686.087425591,3470373.501059995,852,77042,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,279491,277938,275171,272198,270360,270479,269612,268821,268650,270486,272788,276750,280589,283478,287076,287501,286449,281899,280476,280151,280307,277108,273205,268513,265169,263751,261564,261465,261693,264646,264307,262468,258733,256707,255267,251212,246060,241060,241501,242001,242963,241410,242315,243148,244577,245339,246844,251151,255519,258235,257611,257414,257425,258910,259295,259820,259553,260111,260624,261418,261714,262118,261604,260849,260466,259977,259639,259130,259673,259918,259909,258894,258146,257702,258352,259561,260486,261875,262966,264093,264548,264610,264600,265113,265452,265257,264269,263735,263420,263117,263017,263218,264007,264976,266168,266311,267386,270365,274706,277383,278731,279111,279820,280429,280759,281420,282028,284492,286509,287878,287800,288013,288189,289098,289954,290947,291847,292272,293101,292669,292854,292083,292430,292774,294481,295799,297348,298412,299513,300785,301586,302553,302971,303535,303363,303788,304158,304777,303937,303934,304033,303599,302999,303401,303991,304239,303947,303085,301630,300168,300945,301433,301973,303178,303978,303480,301822,301051,301066,302441,304524,307693,309232,311711,313092,314311,315006,315791,317186,318359,320194,320956,320762,319002,317150,313862,311738,310401,311192,311844,312125,311518,309772,308847,308363,308777,309627,310332,310935,311208,310152,310584,311029,313217,315257,316253,318098,319676,322393,324944,327701,329834,332792,334986,338366,341717,347372,354076,360027,364907,368764,372087,376033,380944,386887,392141,397024,401413,404110,406872,409329,413261,418344,425884,434596,441691,447323,451441,454548,456326,458600,460635,462833,464288,463912,462799,457299,452703,447142,445903,446869,448366,448261,445646,443383,442374,442257,441964,442393,443266,445436,446514,445735,445009,444485,445676,446142,446126,445628,445490,446487,447281,446319,444179,441755,439652,439124,440289,442148,442209,442531,440738,439707,437908,438735,440075,442509,445266,446272,445539,445398,447161,447985,448878,448278,449606,450379,451483,451985,451925,453245,454913,456186,457192,459112,462202,466117,469272,472228,475317,478844
Five Bedrooms And More,29.741565,-95.55996,-10637686.087425591,3470373.501059995,852,77042,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,371004,367494,364464,359405,354785,349158,342837,338996,337360,338363,340530,343076,343760,341651,339511,336149,333400,333198,334966,334046,329350,321671,312087,303015,297606,298671,300108,302039,303399,304657,303836,302370,303343,305502,310697,315489,319961,321343,323405,325266,327088,326338,329303,334189,339185,342046,342778,343943,342888,340959,338750,337296,337105,337771,336666,334983,332705,332911,333196,334476,336212,338600,339390,340870,342802,345128,346250,346503,347823,348078,348333,347554,346756,346420,347263,349135,349407,350271,350589,352451,352654,352565,352082,351333,351137,350198,349827,347981,346965,345204,345918,346292,348126,349714,352170,354061,356452,359924,364168,366510,368617,368715,369100,368546,368630,369502,370044,372452,374361,376707,376771,377881,377307,379552,380740,382698,383836,384077,384279,382326,382115,381083,382150,383814,387275,389098,390532,391943,392739,394659,397719,402326,405406,407208,407490,407040,406590,406612,406654,407469,409708,409729,407992,406769,404719,402729,400335,399004,397613,396624,397110,397114,395718,396236,395918,394487,392732,392349,393024,394465,396917,399554,399999,401210,402015,402910,403387,403166,403530,404266,405703,406835,406046,404386,402545,400668,400004,398969,399721,400344,400862,399013,396239,393285,391810,391877,393466,393322,392224,391548,390750,392522,394501,399227,403130,405663,408210,409679,411210,412739,415790,418507,422481,425081,428939,433185,440224,450126,458336,465837,471197,474647,477539,482446,489319,496134,501192,505709,508364,510214,513767,518519,527179,539879,553273,562217,567612,572245,579059,583612,589053,592693,595147,596245,595040,594369,592494,592193,590885,590712,590125,589948,586988,582536,579247,578997,578823,577304,574587,573333,574101,574390,574184,573932,575635,578292,579740,578955,577390,577970,579525,580583,576865,571815,565277,560443,557514,558219,559189,558519,558462,552958,548868,543363,544706,548474,554115,559031,559862,557856,557257,558672,559051,559781,559085,560215,560108,559941,559598,559333,560985,562882,564092,565122,566956,570925,575429,579600,582662,585212,587674
Condominium and Co-operative Homes,29.741565,-95.55996,-10637686.087425591,3470373.501059995,852,77042,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62209,62223,61544,60892,60017,60393,60153,60294,59810,60108,60261,60440,60303,60027,60332,60473,60753,60059,60173,60336,60944,61036,60974,60700,60633,60582,60989,61543,62372,62201,62082,61158,61093,60227,60150,60560,61463,62102,62331,62197,62318,62248,62266,62188,61996,62006,61846,61367,60713,60132,59488,58739,57788,57677,57635,57765,57390,57285,56922,56842,56549,56568,56571,56818,56961,56942,56753,56580,56391,56175,55979,55695,55386,55093,54602,53996,53357,52685,52194,51674,51324,50929,50551,50169,49930,49560,49727,49956,50279,50377,50224,50225,50212,50335,50525,50762,50967,51089,50958,50789,50685,50843,51057,51227,51373,51675,52175,52633,53001,53481,53918,54608,55109,55657,56219,56842,57532,58096,58377,58795,59307,59907,60687,61345,62155,62658,63402,64185,65095,65699,66471,67118,67918,68571,68977,69356,69796,70669,71107,71364,71581,72220,72750,73028,72952,73085,73508,74014,74391,74554,75133,75728,76201,76477,76755,77212,77749,78299,78666,78943,79152,79399,79619,79961,80241,80573,81027,81800,82954,83910,84627,84944,85459,85884,86240,86583,87278,87943,88301,88374,88520,88887,89467,90019,90153,90591,90824,91256,91300,91587,92072,92526,92746,92916,93098,93548,94263,94805,95552,96146,96908
Single-family Residences,29.741565,-95.55996,-10637686.087425591,3470373.501059995,852,77042,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,190427,190874,191344,192772,194398,195964,194956,194134,193951,195595,196897,198786,201484,203675,204992,204827,204179,203060,206335,210464,213846,213932,213804,212711,210475,208948,208194,208339,208903,210344,210208,207923,205116,203577,202828,201926,201047,200862,202075,203762,205258,206577,207917,209402,211031,212437,214551,217611,220982,222719,222734,222440,222560,223284,224027,225107,225547,226424,227232,227797,227498,227622,227696,227841,227997,227868,227875,227464,228045,228154,228197,227569,227526,227371,228065,229274,230526,232028,233160,234294,234663,235070,235478,236450,237422,238011,237829,237286,236472,235996,235775,236390,237242,238064,238734,238694,238774,240374,242976,245218,246838,247429,248103,248103,247954,248190,248310,249708,250807,251612,251593,251768,251727,252332,252983,254035,255080,255433,256477,256507,257503,257184,257788,257812,259104,259903,261107,261908,262757,263895,264472,265558,265843,266509,266228,266616,266902,267231,266336,265879,265972,265917,265818,265679,265405,264751,264021,263161,261946,261060,261613,262808,263478,264194,263498,262429,261719,261773,262185,262820,263717,265132,265769,265168,264133,262964,263680,264252,264275,264338,264698,265048,264846,263910,262366,260594,259301,258825,258875,258784,258357,257255,255762,254860,254094,253696,253672,253789,254105,254426,253680,253932,254304,255622,256743,256931,258152,259081,261159,263107,265370,266733,268751,270487,273394,276551,281287,286766,291327,295602,299101,302862,306569,311130,316163,320697,324759,328487,330787,333262,335394,338240,341489,345991,351730,356584,360482,363150,365291,366409,368499,370507,373315,375859,377519,378519,376174,374163,371346,371577,373378,375917,376782,375357,373746,372892,372848,372873,373435,374551,376539,378023,378073,377783,377778,379225,380671,381650,382191,381955,382908,383216,383202,381914,380358,378964,378728,379848,380589,380488,380208,379874,379104,378170,378460,379715,381689,383559,384546,384478,384906,385978,386288,386579,386143,387341,387542,387694,387390,387486,388210,388870,389560,390456,392309,394590,397639,399913,402708,405693,409155
One Bedroom,29.734379,-95.52269,-10633537.210003724,3469452.23061204,926,77063,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,68740,68683,68738,68458,67936,67209,66811,67060,67420,67708,68347,68956,69814,70046,69863,69480,69073,69041,68860,68272,67589,67445,66648,66118,64995,64744,64923,66072,67732,69371,70378,70548,70410,69433,68900,68099,67878,67425,66718,65662,64761,63731,62986,62313,62124,62339,62489,62721,62942,63093,63461,63165,63094,62856,63600,64503,65572,65996,66647,66855,67100,67193,66771,66631,65975,65964,65160,64627,63763,63568,62821,62347,61478,61211,61035,61703,62267,62697,63446,63783,64346,64268,65186,66297,67658,68350,68967,68920,68976,69032,68586,68743,68702,69382,69319,69094,68905,68942,69608,69949,70320,70369,70828,70926,70827,70895,70767,70609,70443,70958,71456,71747,72009,72038,72219,72543,72924,73082,73142,73995,74420,74332,73314,72783,72731,72973,73659,73638,73816,73137,73167,72479,72421,71615,71385,71322,70938,70248,68836,68273,68342,68642,68892,68792,68457,68248,68241,68024,67896,67884,67755,67245,66319,66031,65703,65550,65462,65755,65631,65555,65107,65147,65226,65470,65168,64651,63958,63574,63237,63078,63076,62991,62971,62441,61908,61256,61106,60884,60905,60670,60293,59434,58645,57975,57762,57678,57692,57789,57836,58059,57652,57486,56989,57071,56900,56838,56466,56379,56114,55489,54799,54174,54203,54045,54453,54885,55777,56658,57480,57841,58537,59763,61168,62144,62894,63776,64489,64897,64996,65195,65699,66676,67825,68953,69984,71239,72440,73728,74798,75828,76920,77886,78605,79040,79018,79026,78613,78633,78525,78698,78930,79345,79789,80001,80322,80796,81588,81953,82702,82970,83692,83962,84594,85107,85433,85754,85947,86297,86394,86720,86840,87062,87033,86992,86832,86688,86847,87139,87526,87606,87765,87837,88014,87911,87897,87989,88137,88260,88401,88538,88584,88692,89004,89526,89510,89898,89896,90408,90484,90777,90811,90858,90949,91103,91102,90945,91166,91192,91493,91356,91529
Two Bedrooms,29.734379,-95.52269,-10633537.210003724,3469452.23061204,926,77063,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,83189,83654,83814,84194,84211,84173,84215,84337,84440,84438,84692,85047,85293,85010,84825,84605,84640,84536,84344,84250,84304,84600,84484,84119,83743,83432,83385,83579,84236,85004,85693,85997,86115,85854,85662,85541,85712,86513,86715,86605,86071,85947,85689,85300,84666,84459,84262,84326,84336,84182,84280,84450,84640,84627,84945,85522,86311,86664,87151,87513,87766,87820,87516,87156,86949,86919,86871,86510,86324,86373,86681,86769,86987,87095,87583,88258,88914,89516,89808,90390,90896,91432,91660,92193,92575,92746,92621,92619,93028,93576,94116,94611,95023,95393,95694,95646,95786,96559,97750,98666,99096,99364,100237,100742,100951,100899,101015,101477,101828,102318,102770,103066,103022,102479,101665,101159,100865,100807,100788,101012,101455,101447,101226,100835,100850,101045,101445,101810,102641,103458,104112,104264,103958,103531,103096,103290,103482,103826,103401,103463,103339,103328,103201,103122,103198,103091,103013,102764,102451,102202,102274,101946,101386,100752,100072,99395,98876,98783,98728,98532,98312,98106,98157,98152,98112,97852,98042,98157,98069,97681,97471,97305,97435,97507,97174,96444,95598,95140,94805,94511,94069,93634,93013,92536,91747,90926,90266,90083,90298,90403,89971,89714,89654,89977,90101,90098,90031,90165,90713,91191,91551,91636,92023,92382,92995,93523,94605,95686,97078,98197,99084,100016,100959,102323,103546,104852,106047,107542,108576,109729,110651,111903,113164,114496,116040,117164,118423,119299,119982,120064,120545,121241,122083,122794,123262,123785,123678,123959,123953,124459,125376,126442,127186,127298,127650,127890,128437,128495,128740,128646,129031,129370,129295,129199,129234,129716,129935,130241,130322,130540,131107,131940,132611,132839,132905,133094,133345,133714,133754,133695,133676,133878,133893,133852,133898,134406,135387,136331,136912,137074,137539,138236,138997,139706,139474,139235,138651,138527,138392,138380,138742,139039,139381,139641,139921,140172,141202,142297,143719,144768,145737
