HomeType,Latitude,Longitude,mercator_x,mercator_y,SizeRank,Zip,State,City,Metro,CountyName,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
Condominium and Co-operative Homes,30.344305,-97.7638,-10883016.434015438,3547884.260468905,3007,78731,TX,Austin,Austin-Round Rock,Travis County,150245,147934,146788,144795,144284,143750,144140,145602,147500,148485,148202,148201,148311,150249,152772,155677,155678,155705,154883,153989,152116,151187,151858,152701,153023,153699,153221,152180,152872,154063,154561,152893,152465,153393,155599,157034,159114,158734,158213,156286,155031,154068,154380,155823,156835,157122,156085,155496,155119,155778,157141,159453,160798,161448,161191,161184,161190,161125,161387,161673,161763,162301,162743,162726,161829,160590,160112,159778,159485,159552,159999,160596,160488,159684,158790,158770,159531,160627,160785,160826,161076,161120,160885,160410,160771,161332,161973,161952,162137,162442,163212,163192,162392,161027,160407,160011,159286,158474,158076,158696,159049,159476,159746,160878,162297,164193,165211,166077,166985,168087,168582,168387,168318,167579,166710,165632,165566,164902,164350,163593,163368,163444,163126,162227,160677,159604,159400,159887,160339,161299,162240,163272,163943,163942,164414,165389,167749,170723,172435,172627,171866,171914,172429,172755,173083,173644,174909,175726,175973,175253,175506,175686,175754,174533,173126,172370,171987,171686,170458,169467,168218,167375,166423,166654,167304,168611,169795,170553,170216,169861,169609,169608,169641,169491,168987,167879,167141,166583,166012,165251,164622,164034,163637,163270,162951,162654,162423,162619,162280,161579,160845,160323,160681,160813,161224,161305,161560,162257,163193,164376,165547,166561,167189,168383,169501,171300,172821,174913,176984,178622,180310,181211,182409,183815,186139,187890,189165,189837,190995,192449,194052,195353,195884,196691,198134,200049,201680,202949,204995,207543,209541,210241,210931,212544,215501,218830,221067,222226,222723,224233,225685,226598,227657,229180,230304,230754,230837,230942,231832,233590,236116,237778,238176,238932,239586,241319,243012,244995,246190,246405,246644,247178,248254,249361,250786,251977,253621,253843,254726,255665,257219,258876,259172,259530,258733,259190,259875,261190,260882,260700,260488,261092,261643,261956,262652,262337,262510,261846,262615,263156,265073,267002,268912,270409,272094,274385,277317,281280,285681,290567,294579
Single-family Residences,30.344305,-97.7638,-10883016.434015438,3547884.260468905,3007,78731,TX,Austin,Austin-Round Rock,Travis County,0,0,0,373006,371902,374638,378422,380719,380603,380029,384232,390093,394155,394824,392417,389293,387099,380818,375700,373856,378543,382522,378903,372362,368670,371393,375673,378448,381796,385730,386213,383491,375078,369862,366770,364822,362224,356609,355813,358648,364559,372681,382387,391284,399361,403165,406716,411487,416639,421567,423652,425947,427744,428169,427257,427312,428967,433898,436699,438456,437244,438755,439543,441060,441739,442673,441811,440424,438703,436545,434814,433081,432734,430710,429498,427192,424122,421208,419810,419437,418767,417586,417558,417427,417577,416855,415815,414322,413675,412532,411526,410636,410684,411203,411107,411090,411401,413608,416311,419745,422813,426156,429460,431553,433356,435154,437596,440233,442249,444310,446156,448389,450026,451787,453089,455158,457291,459301,461135,463210,465925,467884,469947,472080,474859,477402,479919,483028,486456,490010,492458,494553,496510,498502,499364,499832,500579,502598,504207,506011,507005,507923,510229,511195,511930,511344,512201,512815,513255,512610,513162,511954,511219,509448,505789,503310,500113,498760,495588,492167,488281,484648,481106,479141,476993,476101,476862,477909,478766,478223,479196,479433,481006,480602,480350,477799,476228,474894,473076,470933,469368,468369,467159,466459,465408,466108,466576,469639,471918,473813,475867,477211,479026,480749,483070,486285,489014,493519,497825,502391,505779,508360,509613,513748,518369,525216,531317,538766,546317,550434,553513,554156,557085,560842,567033,571299,575691,578268,582104,585236,589537,595202,600536,607969,614640,621880,626328,629413,631170,633269,634620,635461,635173,635993,639111,642895,646203,647222,648525,652304,659167,665666,670719,673073,675244,676665,677950,676653,676280,678767,683706,686502,685202,684617,685728,689374,692287,694926,697172,698227,699963,702147,707463,712797,716491,717422,718726,720956,725512,730318,733946,739014,740346,742213,739073,740728,744955,752700,754154,754169,752811,755197,757533,760976,765521,766800,766769,764210,765986,768546,776067,782941,790934,797166,805281,813289,823456,837305,855765,875693,893067
One Bedroom,30.292424,-97.73856,-10880206.730067817,3541193.875001549,3411,78705,TX,Austin,Austin-Round Rock,Travis County,102841,102510,101573,100159,98944,98939,99308,99421,98984,97850,97152,96874,97075,96967,97101,97555,98250,97738,96717,95864,95561,96693,97644,98186,98220,98267,99252,100186,100524,100454,100179,100417,101521,102061,102168,101962,101790,101963,101638,100678,99999,99589,100714,101734,101951,101878,102047,102863,103385,104206,105224,107420,108849,110232,109813,110214,110794,111915,111857,111419,111413,111785,112376,112289,113031,114022,116317,117025,116954,116139,116928,118184,119109,119286,118979,119913,121523,123742,124436,124979,125839,127142,128301,128291,128973,129926,130963,130916,129098,127958,127705,128823,129398,129194,128611,128906,129478,129588,129854,128898,128806,127292,126419,126899,128254,130479,131300,132462,132597,133491,134777,137478,140110,142328,144497,144380,144052,142964,143156,142677,141783,140428,138678,137272,136075,135322,134474,133465,132896,132408,132578,132961,134253,135429,135794,135653,136458,137771,138284,138240,138131,138741,139269,139331,139051,138427,138931,139327,139065,137874,137586,137891,137742,136672,134717,133620,132680,132459,131609,130772,129482,128805,127713,127273,126545,126463,126793,127013,126981,126639,126507,126425,126486,126460,126218,125688,125839,126172,126468,126165,125780,125333,124939,124591,124404,124302,124613,125009,125179,124925,124892,124986,125588,126388,127460,128424,129258,130409,131511,132808,133613,134190,134188,135024,135949,137290,138305,139743,141236,142215,142788,142930,143606,144904,146876,148173,149044,149355,149985,150820,151754,152869,153778,154928,156250,157676,158788,159695,160788,162281,163644,164264,164786,165390,167066,168904,170384,171158,171779,172994,174742,176117,177236,178020,178991,179949,180720,180909,181451,182722,184733,186103,186022,185917,186552,188514,190315,191730,192939,194309,195688,196496,197252,198268,199941,201757,203052,203304,203620,204695,205871,207189,207650,208519,208346,208660,209367,210879,211104,211042,210625,211040,211442,212098,213087,213639,214539,215104,215961,216096,217266,218810,220645,221576,222534,223214,224068,225198,226612,228051,228990
Two Bedrooms,30.292424,-97.73856,-10880206.730067817,3541193.875001549,3411,78705,TX,Austin,Austin-Round Rock,Travis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176736,178222,177996,178377,177786,178233,178189,179461,180224,180403,179704,179508,180420,179539,179184,178919,179962,180112,180837,180173,180291,179950,181569,182366,183047,184056,185879,187754,189241,189755,190230,190130,190304,192968,193958,195107,192485,191142,190092,189285,189387,189648,190303,190666,189694,187778,186554,185946,189041,192213,195170,196957,198152,199502,199876,199289,199344,199307,200128,199583,198525,197312,196946,196656,195970,195514,195113,196811,198098,199987,200161,201020,201080,200548,199838,199370,200002,200491,201578,201684,202661,203180,204314,205107,204517,204141,202816,203178,202835,202689,202361,202267,201826,201602,201188,201273,202684,204932,207362,208858,210065,211288,212149,212918,213593,213968,214736,215722,217067,217432,218356,219315,221094,222555,223674,224121,224016,224352,224836,224868,224212,224182,223750,222292,219932,216735,214868,213674,213499,212591,211143,209596,208564,207302,206321,205441,205302,206376,207102,207225,206570,205991,205509,205421,204926,204274,203127,202959,202804,202492,201563,200529,199619,199121,199045,198613,198425,198417,199243,199628,199710,199712,199746,200662,201551,202700,203439,204491,205643,206578,207483,208200,208967,208960,210380,211934,214484,216296,218854,221234,223360,225622,226899,228671,230237,233292,234882,236099,236624,238299,239944,241726,243374,244366,245572,246876,249098,250914,252657,254168,255828,256878,257177,257446,258222,260254,263309,265817,267131,267682,269325,271797,273406,274598,275864,277679,279285,280524,280587,280793,281812,283890,285159,284998,285518,286749,288793,289949,290554,290949,291750,293426,295037,296319,297468,298782,300028,301157,301653,302505,304585,306637,308622,308570,308685,308157,308394,309229,310917,311309,311564,311478,311543,311549,311363,312388,312780,313733,314637,316299,317506,319376,321264,323503,325223,327105,329168,331162,333642,336131,338426,339916
Three Bedrooms,30.292424,-97.73856,-10880206.730067817,3541193.875001549,3411,78705,TX,Austin,Austin-Round Rock,Travis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286984,290317,292464,295054,295471,295566,296945,299139,300080,301222,301410,301768,300602,298459,297114,297624,299845,302344,303423,304862,307390,309882,311840,312761,315102,316837,317097,319511,323196,326591,328133,325006,322726,319704,320529,322362,323863,323679,322886,318027,314070,309825,307372,308267,308323,308039,304885,301810,301778,302883,305029,307434,307528,307839,310445,314846,320195,322939,325967,327623,328375,329386,330212,332111,333893,335937,335054,332192,328981,329654,331340,335075,337275,338439,338373,337707,338948,340844,343733,347161,349792,351454,351975,351356,351714,352543,355603,358995,361884,363264,364809,365632,366164,366150,366900,369054,370999,373904,376949,379538,382071,382828,383818,383291,384036,383959,383419,380819,378416,376933,372556,367823,359858,356304,351227,347992,343492,341126,339497,339570,338865,335308,331633,329190,331169,332204,333651,334500,335783,335601,335011,333757,332934,332884,333829,334781,333981,332450,330655,329369,328618,327943,327505,326923,326937,327412,328509,328835,330049,330080,331203,331881,333261,335560,337928,340663,343164,346995,350136,353324,353860,357646,361735,367481,371772,376045,379885,383589,386927,387620,388917,390051,395530,398808,402746,404764,408573,411997,415498,417680,419030,422793,427475,433157,436110,438352,439113,441147,441969,443195,445781,450623,457369,462099,465024,466720,468117,471468,475411,478722,480925,481779,481904,481563,481478,481602,482566,484933,488867,491832,492513,493307,496205,500202,503130,503971,503203,502223,502431,505377,509195,512074,513763,514495,514541,514915,516178,520407,525314,531298,533289,529871,524991,524104,529139,534870,536114,535242,533346,532680,532057,532676,536177,540381,543737,544017,545035,546803,552717,558832,566106,571999,578387,583760,589120,596768,606467,617741,626468
Four Bedrooms,30.292424,-97.73856,-10880206.730067817,3541193.875001549,3411,78705,TX,Austin,Austin-Round Rock,Travis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340148,337513,334522,327119,320769,317395,315791,316775,318645,324712,329626,335448,340798,347643,354552,365462,373413,377950,379696,381136,383098,379791,379500,378253,379215,376656,375663,375451,380531,385141,391128,392118,393594,393528,394610,395309,394720,395276,394401,388784,382978,379727,380027,381311,377124,375500,370812,369832,369472,370461,371738,374041,372697,371055,366725,363300,363309,361409,360921,359481,357844,357847,357301,359798,362798,363951,365442,369816,375436,382320,386445,389983,392263,393554,395642,396487,398652,400835,403423,402682,400622,398074,398831,399079,401872,405376,408301,409755,409172,410649,412301,414657,417457,420000,422913,426022,427437,426885,426203,428595,432871,436572,438123,440184,440943,441462,440701,440845,443474,445790,451213,455568,459784,462080,464036,465095,466296,467677,468648,467266,462942,460445,458764,455191,451788,445547,442872,439799,437982,435951,434777,435965,437939,438754,433928,429238,424252,425533,425933,425487,424101,422101,419626,416328,413133,410172,409681,408809,408945,405220,402213,400430,399180,399375,398799,398794,398613,399761,399138,400178,399614,403941,405178,406979,408047,409749,412807,416501,420591,424289,428144,429889,431476,429325,432960,436951,443420,448448,454643,459370,464160,467296,473212,480438,488750,498644,505227,512750,516761,521963,525990,528792,530537,531334,535360,541616,548929,554402,557742,557754,559014,559339,561718,570142,581315,594560,598984,601007,602606,604464,609042,614679,622314,629745,633986,634754,632544,633594,641524,650768,658561,664145,668942,673075,676609,681808,687635,689045,690855,689275,683363,677600,675119,681081,684644,688194,690531,693015,695465,700620,708441,715581,724812,728600,732281,731022,737316,744665,753453,754143,754228,754842,759156,762145,762729,765557,765161,764304,760957,763262,766961,775615,783357,791220,795705,802944,812484,823898,838485,855613,872755,886180
Five Bedrooms And More,30.292424,-97.73856,-10880206.730067817,3541193.875001549,3411,78705,TX,Austin,Austin-Round Rock,Travis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258232,255750,254962,254971,255676,256881,256546,257481,257423,258643,258734,261450,263181,268480,271692,271989,272224,271956,275117,275401,279326,281741,287381,288120,290560,289056,290175,292389,294825,297481,297919,300486,300117,298943,296053,294688,294547,297776,301276,303764,303504,303515,305204,307382,308034,310511,311667,314880,313971,310813,308348,306253,304473,301623,298427,297455,298627,299605,301106,299671,300962,304507,308434,314907,320742,326253,328352,326471,324691,322357,322699,323281,324074,322832,321734,319095,318360,317982,320587,325705,328651,331006,330868,333554,335946,339036,342110,345876,349564,353460,355428,355767,356225,358968,362073,363861,363953,365072,364681,363291,361724,360265,361469,362524,366640,371059,375259,378421,379983,379469,379817,379649,379869,378246,375616,375209,373309,368081,363067,357576,357059,355308,354094,352613,351234,352653,353447,353961,353727,355416,356185,358000,357374,358922,359589,360292,359100,356569,355161,351558,349585,346492,346778,344424,343411,341005,339315,339027,340245,342469,343172,346006,345396,346991,345779,350496,351691,356035,359588,363814,366303,368984,372745,376824,381891,382439,383032,380269,384513,388373,393886,398044,403916,409198,413949,416663,421119,428573,436506,445131,449948,453798,455923,458194,462072,465507,469522,471484,473750,478042,484922,492922,499292,504914,510377,515345,519434,526843,537869,552865,565398,574211,580329,583392,588032,593866,603118,614828,623443,628050,626030,627738,632070,639241,645921,653023,661497,667829,672849,675482,681931,686535,693665,695700,699061,704497,712974,725241,731758,738632,743149,750779,754014,761132,768943,778593,786647,786938,787415,783859,795434,805579,816684,811929,813252,816639,826908,830781,829348,830190,826433,822533,810662,807556,807387,817537,822976,826566,825472,830486,841154,854789,873028,894662,918356,938140
Condominium and Co-operative Homes,30.292424,-97.73856,-10880206.730067817,3541193.875001549,3411,78705,TX,Austin,Austin-Round Rock,Travis County,119774,119974,119447,119146,119214,120494,122243,124319,126071,126798,126563,126684,127013,127794,128523,129671,130871,131319,131232,131062,131254,133332,136495,139627,142129,143865,147798,151408,153362,152813,152322,151824,152241,151951,152616,152334,152926,153299,152698,151197,151276,153184,154781,154972,154076,153561,153025,153012,152538,153015,153161,154493,155011,156692,158044,161289,163849,166015,166158,166402,166619,167032,168889,168785,168670,164671,162857,160178,158987,157868,157932,158332,158448,157736,155982,155420,156065,159189,160711,162527,164289,166422,167419,167223,167358,167848,168540,169179,168034,167158,167039,166694,165454,163024,162551,162870,163290,163719,164731,165244,166403,166342,166334,166929,167782,169604,169897,170448,170642,171697,172200,173269,173831,174237,174315,173633,173814,173503,174028,174007,174054,173297,172898,172143,172225,173050,174257,175330,175873,176847,177665,178552,179575,180531,180784,181146,181770,182639,183085,183451,183968,184507,185337,185815,185895,185640,186138,186751,186812,186057,185685,185797,185488,184466,182027,180468,179457,179235,178294,176961,175572,174669,173442,172084,170600,169989,170735,171272,171297,170834,170562,170436,170436,170234,169970,169504,169794,169970,169848,169143,168357,167761,167406,167279,166933,166813,166896,167614,167775,167705,167659,167832,168639,169237,170086,170668,171556,172628,173661,174766,175787,176648,176782,177964,179316,181466,183076,185355,187671,189615,191284,192066,193296,194788,197453,199067,200220,200764,202009,203281,204586,205844,206934,208204,209641,211410,212883,214221,215596,217282,218548,219191,219599,220519,222231,224705,226500,227518,228069,229464,231726,233412,235014,236252,237878,239251,240710,241057,241680,242832,245093,246629,246582,246687,247356,249224,250723,251862,252622,253965,255917,257571,258727,259742,261228,262825,264289,264918,265765,267300,268730,270304,270399,271535,271588,272396,273179,274910,275489,275731,275459,275626,275958,276158,276988,276883,277366,278144,279760,280859,282397,284266,286563,288328,290131,291917,293867,296166,298714,300797,302262
Single-family Residences,30.292424,-97.73856,-10880206.730067817,3541193.875001549,3411,78705,TX,Austin,Austin-Round Rock,Travis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312655,311320,309599,306413,302942,302713,302324,305328,308742,316173,322958,331960,342438,354938,366570,377091,385837,389781,394272,397006,400498,398636,398470,395549,391794,384225,379915,379980,385712,391523,398013,399533,401758,402267,403845,404475,404223,404471,404131,401211,400721,402123,404908,406094,401789,398913,395218,394979,394821,394735,393960,393681,388659,385082,380408,377873,378135,376975,375378,372101,369510,370392,371307,373669,376190,375537,374870,378168,384252,392590,397318,401868,404168,405052,406701,407936,410815,413528,416508,415117,411838,407649,408662,410300,414617,417511,419395,419963,419714,421624,424429,427873,431617,434303,435803,436496,435344,434822,434962,438052,441643,444542,445616,447373,448222,448483,448217,448432,451162,453650,457254,459719,462064,464415,466072,466886,466776,467761,468322,467788,464931,462199,460103,456601,453596,447409,443716,439630,437336,434425,432405,432057,433111,433978,432022,429774,426917,428486,429276,429731,428620,427879,426797,425481,423379,421634,420702,419249,418216,415013,412600,411394,410951,411241,410295,409416,408422,408046,407629,408780,409689,412996,414113,415256,416409,418302,421972,425528,429732,433632,439123,443714,447877,447864,452072,456156,462477,466898,472204,476678,481209,485293,486311,487652,488805,495959,500888,507568,510957,515935,519735,523341,525417,526119,530580,537107,545063,549384,551552,550998,552543,552856,554650,559716,566979,576249,584556,590905,596664,598380,603496,609278,614615,619020,620772,621033,619583,619625,617847,617085,616981,621952,624976,625601,625940,629343,632855,633805,633967,632187,628495,624729,625490,629977,633236,634225,634326,633302,634189,637161,643507,649328,657874,661311,657350,648808,646976,654241,662970,665211,663865,661507,660780,660937,661418,666419,671099,674671,673695,674585,676653,684138,691806,700711,707860,715802,723348,730684,742212,757378,774529,787292
One Bedroom,30.451803,-97.67989,-10873675.615542976,3561758.112639585,3542,78728,TX,Austin,Austin-Round Rock,Travis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182279,181618,180219,178752,177424,176789,176389,177230,177941,178810,178613,179180,179889,181013,182900,183368,184167,185023,185906,184128,181981,179871,179845,179650,179746,179999,180470,181270,181330,180462,180198,181893,184382,186696,188868,190664,192359,192373,192814,194996,198392,201153,201983,202643,205038,208193,210521,210984,210409,210489,210139,210123,209723,211443,212608,213292,210437,207885,205911,205482,204908,205936,207632,207957,206666,203507,201475,199007,198520,198085,197642,197669,199580,202104,204708,206190,207727,209286,212305,215209,217440,218818,219737,220154,219437,216683,213751,211348,210775,210338,208337,206451,204414,202426,200210,198263,196536,195595,194270,193219,191541,191109,191524,192907,193011,192542,191396,190290,189690,187791,186383,184775,184058,182261,180577,178445,179097,180353,183201,185412,187510,190057,192064,194521,196306,198623,200122,201917,203148,204446,205430,206614,207441,208896,210109,212113,213467,214449,215615,216908,217788,219897,221798,225407,228698,231664,234511,235275,237333,239512,243377,246389,248564,249674,251084,251221,249411,247989,247794,250230,251807,254305,255311,257063,259023,260590,261265,260677,262906,266136,268794,270531,271448,272498,272323,273066,273662,275508,276603,279727,282880,283564,286535,288552,293955,295555,298549,298823,299590,300595,304190,308051,310416,312050,310596,309695,308976,311343,313576,316825,320236,323183,324982,326123,328216,332372,338274,344825,350083,355360
Two Bedrooms,30.451803,-97.67989,-10873675.615542976,3561758.112639585,3542,78728,TX,Austin,Austin-Round Rock,Travis County,89542,89503,89619,89477,89718,90058,90633,90942,91060,91534,91935,92375,92481,92774,92922,93588,93493,93117,92287,91991,92043,91694,91484,91343,91563,91553,91522,91459,91717,92187,92797,93232,93544,93682,93816,93786,93993,94463,95131,95506,95954,96467,97218,97776,98340,99044,99782,100451,100948,101331,101683,102025,102301,102438,102166,102239,102466,103099,103257,103908,104355,105055,105447,106082,106619,106939,107852,108611,109168,109178,109743,109886,110191,110001,110261,110668,110994,111786,111801,112106,112092,112652,112807,113075,112934,112965,112798,112448,112566,112455,112653,111898,111719,111097,110806,110097,109972,110341,110261,110022,109428,109145,108848,109346,109707,110164,110275,110897,111510,111988,112852,113693,114070,113919,114044,114166,114407,114782,115433,115962,115990,115613,115113,114942,115478,116385,117307,118169,119332,120172,121568,123005,124986,126683,128526,130214,132203,134461,136468,138231,138884,139871,139760,139468,138663,138408,138609,138950,138943,138119,137345,137029,137383,137327,136575,135938,135886,136329,136233,135487,134316,133909,133664,133016,132023,131724,132969,134089,134367,134039,133621,133622,133858,133980,133988,133487,133348,132762,131950,131013,130724,130519,130458,130412,130364,129845,129220,129653,130082,130698,130774,131088,131128,131170,131433,131528,131785,132306,133018,133540,133903,134118,134714,135705,137019,138365,139614,141456,143205,144902,146451,147493,148735,149652,150491,150779,151311,152122,153406,154699,156366,158120,159497,160962,162508,164923,167572,170135,172209,173955,175027,175287,175261,175435,176965,179181,181540,182755,183841,184889,186594,188102,190732,193648,196605,199149,200969,201498,201114,201745,202560,204654,204949,206521,206488,207403,207816,208621,209238,211014,214187,217582,220949,222883,225898,227073,228546,229260,230861,232405,233488,234759,234781,234433,232143,231065,230905,232706,234058,234523,233707,234320,235360,235762,235179,235076,237397,240310,243359,246025,249258,252798,257279,260713,264235,268112,273355,278506,282899,286674,289862
Three Bedrooms,30.451803,-97.67989,-10873675.615542976,3561758.112639585,3542,78728,TX,Austin,Austin-Round Rock,Travis County,139868,139494,139438,139273,139297,139407,139428,139646,139830,140208,140532,140833,141151,141875,142469,143217,143554,143760,143828,143866,144008,144205,144370,144653,144754,144524,144208,143403,143063,142872,143267,143447,143666,143440,143488,143486,143973,144715,145625,146840,147917,149031,150097,150984,151843,152781,153767,154779,155424,156076,156671,157329,157834,158333,158596,159286,160021,161006,161827,162688,163353,163899,164178,164551,164953,165321,165585,165812,165883,165988,165980,166085,166510,166593,166619,166297,166145,166249,166364,166422,166554,166643,166769,166521,166104,165950,166080,166506,166910,166846,166789,166337,165926,165473,165306,165279,165486,165929,166507,166638,166448,166503,166951,167652,168322,168917,169319,169768,169830,169603,169152,168835,169034,168998,169053,168997,168845,168427,167969,167686,167848,168484,169167,169810,169905,170301,170170,170455,171166,172616,174100,175307,176375,176939,177259,178122,179388,180951,182694,184112,185066,185550,186438,187360,187921,188151,188761,188828,188730,187992,187651,187322,187122,186475,184778,183323,182450,182181,181514,180850,180348,180218,179883,179675,179490,179768,180995,181886,181996,181866,182013,182401,182711,182553,182133,181244,180657,180332,179901,179379,178934,178332,177508,176619,175506,174839,174484,175096,175204,174758,173772,173020,173057,173422,174228,174736,175605,176420,177150,177472,178049,178838,179482,180819,181964,183586,184969,187190,189308,191076,192677,193769,195162,196829,199615,201647,203680,205206,207072,208882,210648,212895,214681,216860,218765,220772,222363,223839,225207,226572,227638,228045,228820,229718,231696,233943,236157,237757,238954,240943,243353,245714,247819,249735,251524,252989,254654,255638,256836,258513,260810,262389,262926,263683,264745,266544,267368,268292,268447,269333,270371,271376,272663,273612,274925,275379,276406,277004,278942,281011,283110,284875,285366,286694,286654,288027,289224,291826,292912,294036,295035,296986,299132,301027,303303,304654,306495,308310,311062,313691,317086,320647,324149,327139,330467,334391,339028,344386,350441,356291,361868
