HomeType,Latitude,Longitude,mercator_x,mercator_y,SizeRank,Zip,State,City,Metro,CountyName,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
Two Bedrooms,32.812462,-96.81412,-10777298.539998883,3870437.80471587,784,75219,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,156887,155342,154597,153498,153098,152825,151242,151228,151273,152774,153231,154225,154829,156325,157361,158131,157875,157810,159581,159757,160084,158867,159164,158677,158159,157192,156522,155969,156240,156519,157032,156972,156797,156068,155571,155397,156654,158875,161576,162970,163911,164316,165156,165669,166547,167903,169870,172042,173533,174511,174973,176121,176985,178045,178240,179176,180021,181141,181690,182509,183086,182804,182590,182083,182406,182513,183396,184623,185477,186136,186388,185951,185077,184333,183925,184290,184809,185498,185781,185381,185582,185611,185719,186423,187009,187661,187505,187529,187289,187381,187526,188242,188710,189134,190030,190853,192540,195275,198762,201135,202524,202783,203421,203745,204466,205969,207177,208107,209213,209163,209200,208988,210110,212292,214199,215963,216943,216527,216731,216734,217474,218930,219988,221212,221252,221330,220802,220288,220173,221718,222976,224146,224210,223686,223668,223991,225187,225817,226162,226834,228013,228979,230334,231542,231976,230477,228688,227519,226663,225949,226284,226765,226193,224274,220325,217669,215381,216371,217148,218025,218458,218196,218158,217133,217054,216891,218372,218282,218339,217395,216849,215895,214561,214037,212522,211502,209485,208598,207252,207306,207093,206374,204663,203002,202191,201802,201641,201314,201444,201052,200719,199652,199139,199420,200520,201349,201503,201067,201569,202705,203791,204888,206059,207711,209233,210059,210932,212220,213674,215140,216973,219051,221362,222745,223674,224224,224750,225836,226713,227252,228097,229747,229540,229936,230252,232591,234618,236499,239165,241490,244317,247040,249488,251318,254027,255948,258029,259454,261579,264094,265345,266690,267829,269916,272195,274279,276532,278001,279576,281180,283334,284982,286187,287502,289309,291745,294640,297415,299231,298539,298191,298079,299949,301913,303895,305858,306527,306352,305408,304597,304375,306285,307194,308681,308497,309522,310798,311993,312891,312516,311766,311411,311232,311651,312265,310203,308144,304959,305113,304833,305767,306610,308046,309172,310061,309982,310179,312118,314563,317434,317794
Three Bedrooms,32.812462,-96.81412,-10777298.539998883,3870437.80471587,784,75219,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,240137,240463,242029,244692,247002,248849,249776,251872,253529,256115,257964,260153,261761,263647,263979,263720,264112,265155,267362,268245,269381,270024,271531,272998,275031,277679,280322,282336,284142,285552,287264,287847,289605,289392,289538,288643,288450,288705,290233,293724,296359,299378,301553,304810,306336,309017,311276,314280,316644,319267,321470,322206,322695,323555,324624,324115,323901,324150,325879,326958,327817,326725,325751,324910,325206,324816,324784,326705,328649,330007,329877,329945,330212,330895,331673,332423,333182,334735,337107,338732,340640,341633,342681,344307,344615,344335,342445,342229,343380,344362,344508,344399,344443,345895,347012,348355,351352,357752,365232,369663,370300,370400,371821,373778,375806,377038,379203,380769,383549,382997,383091,384073,388202,392955,395813,398126,399740,400392,401924,402703,404317,407315,410040,412336,412359,412190,412072,412146,412477,415529,417362,420058,420180,420007,419063,418416,418610,418461,418193,418728,419682,419936,421361,421666,420222,414299,409389,406246,405122,404814,405216,405373,403594,400522,393189,388167,385260,388683,391893,393811,394503,393091,391995,389218,389403,389246,393198,394002,394233,392367,390267,389429,387320,386992,385541,385024,382240,380032,376712,376391,376070,374553,372125,369413,368593,367674,366993,366967,367666,368410,368460,367249,366676,368374,371551,373492,373954,374197,376394,378702,380309,381515,383434,385759,387938,388789,389900,391897,395132,398330,402266,405365,409549,412513,415707,418063,419744,421541,422659,424063,425324,427058,424378,424511,425202,429619,432236,435265,439779,444523,449265,453422,456932,460561,466414,470416,473727,475843,479199,483117,485824,488040,489736,492222,494985,497653,500186,500956,501341,501606,504059,505416,506472,507931,510923,514076,517260,519762,521177,519623,518959,518778,520197,522105,523990,526484,527250,527148,526808,526275,527243,530988,533457,535465,535364,536772,538072,538703,539751,540239,540442,540091,539335,539669,541118,540050,538658,536012,536989,537304,538128,538939,540146,542065,543857,544150,544107,546181,549300,552768,553731
Four Bedrooms,32.812462,-96.81412,-10777298.539998883,3870437.80471587,784,75219,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,343534,343107,343372,343715,341853,338847,336642,338033,341093,343525,343429,343305,343540,346372,345736,343855,344509,349729,356412,357870,356566,355559,358801,362956,366968,366691,370206,372820,376632,375196,370585,367072,364876,363246,361151,360029,359416,359903,360065,364597,369047,374282,376941,380084,383380,389725,395134,395434,394109,395691,398490,398642,394590,394132,397303,397016,395564,391246,391747,394401,399696,400736,401991,402372,404378,399593,394202,395057,400984,406636,407421,408904,407846,403887,398123,393189,393726,399183,406090,410134,411344,412828,415223,416649,415535,418468,420979,427723,432198,434752,435048,434264,431523,430346,428781,428844,432329,437333,444298,444441,442403,442808,447851,451681,454894,455400,458439,463098,471919,477773,483221,490255,498090,504002,502670,505597,509042,513066,514489,511641,507821,507521,507156,507888,505754,503506,504244,503107,505368,509410,513470,519451,521724,522370,523319,524722,529776,534960,538666,543546,546039,551458,555686,560113,560861,558069,552775,546885,543119,540143,538098,535736,532991,528102,523272,519509,520504,524254,530698,536098,536890,534578,535409,536460,540499,540827,543017,540093,535742,530702,524358,520961,517181,518172,516561,512745,505612,499692,494636,493998,493601,493257,493251,491222,492743,490745,490360,488497,486865,485418,484122,483571,484105,486821,489594,491963,490678,490623,490440,496412,503856,512612,518554,521840,523445,521954,522377,526634,537756,548857,559521,561773,563636,563454,568517,575521,583169,593004,598957,602153,599918,599782,596195,595331,594974,598728,601730,604406,608465,612702,619843,627729,634895,640523,649016,661857,674190,686044,692740,698584,703787,711169,719157,725357,730829,734528,739757,748044,756463,763355,772009,781651,788334,788508,788183,791437,801641,813181,822103,820104,820178,820383,824894,827004,830628,838595,845551,852444,855605,859988,865258,874206,881805,889052,893891,900340,906249,913853,920372,926642,925434,921562,916261,914151,910623,905704,903140,904859,910080,912061,913686,914024,920331,927574,935640,941540,948604,956913,963657,966895,967575
Five Bedrooms And More,32.812462,-96.81412,-10777298.539998883,3870437.80471587,784,75219,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,456504,456013,457957,459317,460358,460960,465495,468815,471905,472520,475211,477755,479829,483119,481766,482774,482201,484831,482457,483037,481088,478972,472540,467090,462608,458545,459069,456797,458294,453318,448298,442128,442356,447302,452654,457958,462563,468336,469691,475862,480256,490198,498361,503409,503518,506521,515605,522036,528993,532950,538742,539673,537153,539103,543946,551203,553961,552457,549815,549144,549227,547773,552249,554916,560342,555868,552160,552578,560745,567778,568656,570111,567525,567066,561695,563263,565282,572825,579522,586837,590211,590134,591604,597445,605745,610990,610382,610133,613664,614805,614944,608279,604558,606383,610574,610314,610044,616573,628299,635406,635637,640067,643921,653803,657258,667879,676193,685359,692855,696105,703750,708247,717413,721950,726112,723642,728339,725635,728924,730063,737293,745312,749637,755264,759373,761300,765237,770528,775752,779842,778103,776897,775300,773328,773540,776195,777538,781274,782127,790996,794068,796580,796395,798136,792860,787054,778695,773130,769369,768198,769822,762819,756345,750458,751948,754892,759016,764021,766788,767676,765706,763613,761922,763596,769110,776027,780328,778569,778414,776675,779480,782687,785844,789891,789935,792257,790332,785276,777119,772033,770079,768701,768298,766376,770673,769848,773058,775975,781757,790086,796882,809050,817668,829468,835478,842313,841699,845290,845474,840168,836544,834365,844713,848186,855893,858541,866356,875115,889885,903038,920311,941937,963568,980173,987367,997429,1006352,1018512,1028654,1041933,1058619,1076568,1091248,1102584,1116114,1135534,1154863,1174284,1191063,1207392,1221043,1232261,1235569,1245399,1258009,1287681,1309782,1327809,1338453,1348510,1358459,1373191,1393288,1410703,1424264,1427919,1433459,1422098,1415064,1413431,1424961,1431854,1438926,1442706,1449153,1451538,1457608,1465992,1473772,1472416,1473294,1472125,1472009,1472722,1473598,1476355,1474175,1479793,1487112,1493582,1493734,1503351,1506030,1505488,1502458,1513886,1521621,1529226,1531276,1536894,1541165,1546223,1550218,1555095,1566478,1581689,1597866,1603214,1611937,1616514,1626424,1633761,1640850,1647849,1659388,1668161,1674966,1680987,1687274,1695023,1702271
Condominium and Co-operative Homes,32.812462,-96.81412,-10777298.539998883,3870437.80471587,784,75219,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,155218,153112,151811,150172,149163,148690,146609,145538,143719,143747,143383,144191,144578,146193,147278,147418,146575,145826,147233,147738,149712,149440,150130,149288,148661,147432,146889,146588,147571,147721,148394,148828,149044,149015,148418,147810,148307,149499,151124,151825,151923,152358,152715,153053,153149,153966,155720,158251,160427,162015,162673,163519,164048,164599,164737,165232,166548,167991,168938,169572,169632,169090,169049,169024,169368,169058,169279,170007,170176,169810,169224,168633,168157,167571,166686,166296,166544,167333,168032,168211,168476,168898,168820,168864,168292,168374,168297,168202,167853,167910,168322,168949,169712,170486,171557,172592,174338,176919,179989,182603,183958,184103,183894,183750,183975,184584,185509,186263,187731,187684,187798,187480,188572,190387,191971,193293,193911,193566,193759,193734,194173,195364,196269,197113,196901,196997,196907,196873,197098,198602,199320,199900,199410,198809,198517,198632,199530,199760,199827,200131,201166,201881,203261,204547,205215,203874,202218,201081,200371,199929,200099,200112,198874,196826,193265,190971,189055,189935,190648,191509,191886,191722,191650,190686,190593,190379,191567,191416,191190,190050,189318,188240,186896,185851,184225,183147,181336,180293,178782,178476,178179,177577,176176,174799,173970,173551,173208,173130,173543,173767,173833,173077,172562,172850,173852,174656,174876,174728,175501,176766,177980,178998,179886,181130,182494,183126,183772,184673,185921,187501,189261,190943,192582,193471,194400,195057,195669,196654,197583,198266,199065,200226,199828,200108,200392,202439,204046,205665,207821,209822,211957,214056,215872,217329,219516,221159,222852,224075,225807,227927,229036,230239,231469,233532,236029,238300,240607,241577,242799,244083,246216,247800,249041,250432,252074,254114,256300,258307,259724,259464,259774,260117,261966,263691,265371,266857,267257,266969,265967,265236,265061,266903,267288,267948,267083,267711,268761,269711,270643,270567,270525,270462,270546,270784,271345,269861,268418,266056,266210,266107,266869,267517,268475,269373,269997,269883,270092,271730,273823,276058,276288
Single-family Residences,32.812462,-96.81412,-10777298.539998883,3870437.80471587,784,75219,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,172814,172002,171753,171567,171663,172019,171191,171379,171180,172661,173701,175490,176879,178663,179808,180347,180471,180991,183027,184195,185511,184718,184421,183191,182211,181227,180989,181243,182124,181810,181949,181401,181893,182057,182540,183063,184343,186454,188378,189624,190289,191416,192636,193755,194534,195664,197298,198917,200588,201912,203225,204243,204965,206246,207233,208190,208939,209799,210808,211922,212594,211844,211327,210893,211308,210865,210739,211786,212407,213034,212603,212270,211695,211692,211592,211886,212396,213308,214506,214807,215970,216367,217057,217689,218040,218340,217892,218141,218340,218928,218919,219105,218868,219516,220546,221700,223535,226724,230765,233504,234659,234807,235723,236631,237777,238949,239965,240854,242272,242156,242563,242567,244137,246155,247652,249206,250292,249977,250189,250006,250881,252590,253545,254400,254353,254489,254254,253928,254148,256312,257742,259244,259465,259569,259686,260280,261538,262826,263639,264717,265974,267176,267834,268231,268001,266610,265227,264313,263680,263220,263574,264603,264335,262906,261704,262055,262021,262604,263269,264628,265568,265394,265740,264708,265081,264825,265763,264652,263927,263262,262724,261906,260563,260196,258823,257710,255374,254074,252087,251828,251701,251325,250069,248301,247619,247065,246554,245876,245757,245548,245198,244087,243424,243791,245053,245938,245942,245547,246381,247747,249047,250187,251760,253657,255343,256200,257131,258902,261223,263591,266527,269564,272932,275093,276779,278075,279444,281300,282602,283431,284123,285800,284810,285332,285877,289378,292024,294844,298059,301249,305462,309852,314100,317336,321754,324567,327317,328820,331398,334286,335854,337202,338071,339912,341950,343836,346281,348540,350946,353297,355802,357635,359197,360846,362820,365288,368636,372423,374997,374017,373052,372489,374686,377231,379947,382999,384884,385909,385842,385414,385737,388415,390694,393144,394063,396342,398995,401396,403093,403276,402445,401924,401836,402699,403684,401697,399636,395894,395722,394866,395801,396631,398600,400433,401796,401998,402324,404803,407693,411361,412307
One Bedroom,32.77003,-96.69,-10763481.564801622,3864818.92357441,1180,75227,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25823,25510,25439,25230,24970,24702,24389,24332,24163,24008,23748,23521,23505,23695,23845,23727,23672,23628,23834,23888,24068,24307,24700,25175,25240,25207,24863,24801,24841,25077,25206,25178,25207,25102,25026,24979,25214,25457,25920,26566,27235,27640,27683,27615,27696,28034,28526,28621,28655,28753,28980,29149,29354,29838,30575,31353,31987,32598,32863,33049,33252,33317,33527,33199,33097,32930,32796,32385,31589,30893,30390,30394,30388,30579,30493,30702,30634,30582,30565,30956,31635,31878,32190,32313,32703,32809,33224,33680,34133,34065,33795,33661,33798,34341,34547,34593,34100,33578,32817,32152,31687,31779,31719,31440,30707,30232,30260,30366,30649,30734,30675,30312,29797,29551,29763,30128,30445,30299,29614,29082,28647,28946,29452,30366,31027,31127,30796,30268,30093,30079,30381,30791,30992,30899,30559,30038,30042,30197,30721,30777,30774,30688,30960,30830,30859,30446,30418,30409,30243,30128,29815,30115,30396,30725,30756,31049,31440,32050,32333,32554,32680,33063,33754,34670,35247,35783,35594,35351,34992,35235,35514,35766,35850,35639,35128,34369,34013,33932,34653,35370,35977,35942,36181,36561,37253,38128,38813,39381,39815,40214,40608,41105,41811,42755,43480,44452,45237,45824,46871,48473,50418,51765,52425,52842,53734,55201,56955,58255,59242,60312,60787,60613,60232,60989,62731,64559,65467,65211,64924,64492,64989,65688,67351,69531,71936,74006,75648,77496,79986,82987,85501,88057,90712,93401,96091,98008,99520,99946,99725,99145,97935,97841,98400,100164,101810,103758,104742,105364,105812,107342,109405,111441,113688,114793,115469,114998,114163,112826,111833,111236
Two Bedrooms,32.77003,-96.69,-10763481.564801622,3864818.92357441,1180,75227,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,35826,35835,35916,36105,36324,36488,36715,37039,37275,37463,37486,37549,37532,37664,37806,37991,38135,38348,38346,38223,38352,38695,39153,39531,39893,40215,40391,40336,40243,40247,40525,40835,40941,40771,40799,40820,41065,41226,41643,42200,42836,43215,43450,43531,43563,43653,43744,43985,44181,44427,44398,44247,43887,43756,43634,43779,44016,44443,44662,44836,44833,44542,44416,44551,45028,45100,45146,45099,45132,44998,44899,44959,44915,45186,45259,45379,45316,45770,46425,47100,47564,47925,48359,48636,48768,48757,48784,48843,49009,48917,48589,48190,48140,48404,48513,48553,49020,49864,51073,51882,52308,52773,53366,54219,54460,54699,55009,55367,55737,55449,55090,54471,54181,53914,53901,53667,53695,53434,53565,53747,53816,54124,54055,54579,54975,55647,55521,55639,55818,56202,55833,55296,55008,55099,55299,55213,55200,54711,54791,54421,54126,53620,53631,53750,53402,52468,51678,51082,50454,49788,48864,48242,47553,46880,45845,44986,44376,43903,43213,42276,41449,40844,40533,40178,39860,39542,39524,39232,38953,38716,38677,38767,38756,38503,38084,37648,37383,37454,37426,37418,37043,36687,36387,36370,36645,36858,36849,36618,36288,35944,35661,35510,35446,35444,35340,35246,34984,35061,35380,36020,36517,36514,36539,36532,37063,37517,38207,38480,38497,38542,38900,39184,39515,40010,40580,41284,41783,42235,42402,42743,43343,43644,43507,43383,43465,43846,44210,44351,44390,44682,45205,45977,46851,48229,49731,51322,52776,54311,55600,57246,59024,60925,62580,63820,64940,66037,67558,69257,71071,72649,73998,74979,75847,76631,77648,78772,79942,80447,80605,80146,79957,80029,81616,83325,84975,86218,87679,89829,92242,94907,97156,99548,100615,101325,100619,101017,101786,103373,104826,105973,106941,107329,108306,109397,112456,115633,118902,120704,122682,124507,126755,128388,130044,132302,134390,136450,137392,138346,139586,141401,142782
Three Bedrooms,32.77003,-96.69,-10763481.564801622,3864818.92357441,1180,75227,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,60024,60076,60222,60432,60654,60716,60762,60810,60886,61012,61151,61374,61408,61466,61396,61509,61595,61937,62303,62667,63056,63515,63956,64215,64593,64909,65235,65285,65468,65638,65861,66110,66332,66245,66185,66172,66604,67248,68040,68943,69577,70032,70349,70664,70834,71257,71621,72229,72379,72577,72484,72301,72164,72394,72836,73201,73669,74099,74671,75101,75542,75483,75745,76135,76844,76931,76911,76973,77048,77026,76802,76736,76678,76946,76940,77082,77110,77758,78386,79110,79654,80215,80811,81342,81627,81711,81709,81674,81730,81572,81507,81231,81323,81536,81766,81909,82325,83332,84714,85887,86609,86959,87455,88227,88667,88964,89163,89408,90041,89969,89947,89549,89333,89585,89611,89558,89397,89045,89233,89180,89129,89244,89082,89257,89406,89544,89349,89001,88973,89542,89596,89676,89274,89120,89116,89275,89591,89731,89964,90348,90563,90333,89938,89542,88927,87671,86288,85091,84053,82985,81970,81006,79864,78727,77524,76663,76455,76710,77038,76695,76310,75734,75676,75267,75350,75257,75718,75835,75497,75114,74732,74918,74767,74640,73754,73028,71817,71251,70408,70224,69725,69240,68429,67714,67124,66746,66452,66182,66099,65602,65161,64085,63880,63673,63854,63328,62729,62166,62360,62967,63405,63719,63968,64487,64720,64925,65122,65730,66536,67417,68211,68566,69046,69472,70003,70597,70372,70287,70100,70628,71169,71653,71359,71625,72308,73542,74499,75055,76585,78275,80076,81529,82957,84504,86223,87401,88306,89442,91368,93815,96317,98269,100469,102364,104794,107436,110835,113924,117108,119455,121502,123102,123722,124838,125674,127190,128270,128961,129185,129422,129715,130692,131860,133468,135145,136940,138650,140361,142109,143748,145228,147024,148154,149491,150439,152002,153708,155155,156421,157086,157717,158471,159565,160649,162247,162060,162082,160932,161686,162175,163377,164242,165250,166351,167389,168293,169169,171252,173431,176234,177579
Four Bedrooms,32.77003,-96.69,-10763481.564801622,3864818.92357441,1180,75227,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,74674,74804,74891,75108,75315,75435,75440,75423,75410,75537,75674,75963,76022,76046,76044,76172,76314,76573,77065,77637,78321,78885,79446,79765,80254,80619,80967,81096,81331,81628,81906,82127,82284,82100,81931,81776,82154,82835,83718,84690,85453,86076,86450,86868,87021,87834,88555,89480,89818,90201,90449,90455,90427,90644,91080,91334,91708,92041,92804,93456,93912,93751,93789,94109,94685,94753,94841,95283,95859,96082,95768,95537,95529,95922,96145,96515,96880,97642,98340,98869,99329,99880,100498,101192,101582,101799,101651,101467,101493,101543,101510,101462,101542,101791,102033,102151,102729,103967,105720,107083,107696,107895,108493,109094,109302,109289,109574,110022,110751,110508,110330,109979,110155,110777,111179,111639,112227,112537,112933,112967,113031,113667,114127,114837,115094,115110,114463,113888,113519,114098,114318,114546,114299,114032,113916,113881,114200,114705,115552,116230,116771,116730,116940,116932,116571,115157,113600,112154,111254,110271,109653,108774,107685,106381,104736,103745,103058,103476,103853,104236,104037,103544,103087,103349,104174,104899,105524,105555,105406,105008,104618,104790,104874,104957,104249,103022,101394,100365,99886,100158,100539,100411,99959,98499,97566,96923,97162,97224,97196,96825,96159,95067,94438,94712,95331,95705,95315,94987,94799,95220,95664,96065,96444,97002,97702,98026,98382,99227,100299,101448,102664,103456,104407,105115,106182,107046,107464,108047,108848,109522,110442,111181,110980,111607,112405,113987,114996,116122,116605,116803,116708,118386,120455,122563,124710,126091,127723,129453,131659,133948,136691,139464,142511,144661,147063,149922,153441,155984,157932,159357,161506,163203,165136,167479,169916,171858,173019,173714,174172,175225,177177,179463,181555,183799,186007,187979,189549,190997,192628,194368,196137,198655,199648,200427,200287,201200,202245,203357,204337,205283,206146,206856,207625,208043,209047,209442,210088,210077,210961,211770,213171,214293,215618,217153,218702,220063,221606,223763,226330,228999,231022
Five Bedrooms And More,32.77003,-96.69,-10763481.564801622,3864818.92357441,1180,75227,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,73606,73628,73668,74030,74423,74923,75062,75154,75118,75292,75302,75449,75329,75551,75819,75916,75928,75747,76143,76664,77447,78019,78828,79391,80151,80410,80620,80480,80583,80747,80993,81089,81193,80823,80457,80178,80588,81363,82223,83482,84289,85227,85619,86293,86610,87894,89079,90220,90346,90486,90954,91312,91948,92239,92735,92531,92488,92475,93075,94258,95346,95811,95906,96170,96442,96689,96974,98117,99045,99355,98875,98103,97588,97437,97422,97038,96842,96947,97629,98026,98667,99560,100462,101260,101767,102267,102060,102473,103148,104145,104286,104295,104530,104767,104784,104667,105023,106245,108459,110129,110946,110884,111532,111861,111826,111478,112216,113056,114355,114364,114361,114030,113850,114119,114019,114801,115411,116144,116428,116772,117000,117677,118068,118786,119478,119861,119559,119029,118993,119682,119810,119593,118822,117969,117451,116945,117153,117701,118877,119452,119386,118706,118623,118850,118697,117544,116045,114522,112934,111397,110105,109158,108180,107176,105523,103952,102879,103304,103836,104497,104516,104061,103424,103516,104631,105392,105980,106056,105947,105414,104447,104183,103961,103840,103025,101245,98947,97449,96899,96976,97171,96738,96498,94984,94086,93444,93453,93204,92527,91612,90355,89049,88402,88764,89211,89452,89000,88587,88600,89662,90726,91327,91926,92626,92686,92281,92165,93279,94507,95748,97204,97683,98471,99400,100725,102060,103133,104299,105051,105231,106134,107131,106957,107820,109144,110842,111601,111845,112344,112818,113459,115178,116793,118541,120410,120851,121124,121728,124194,127081,130361,133172,136179,138305,141049,143782,147470,152053,156578,160964,163507,165760,167268,169783,172299,175483,177087,178618,179210,179705,181066,182501,185118,187405,190183,193052,195975,198283,200744,202748,204677,207187,207718,208506,208549,210301,212144,213467,214489,215579,217178,218971,221337,222591,224167,224136,224876,224896,225994,227009,228591,229780,230963,232365,233636,235536,238100,241936,245516,249082,251858
Condominium and Co-operative Homes,32.77003,-96.69,-10763481.564801622,3864818.92357441,1180,75227,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65221,64458,63963,63297,63539,63867,63956,63938,64067,64369,64869,65791,66997,68309,69598,70367,69741,68954,68764,68951,69009,68816,68254,67147,65669,65152,65065,65385,65763,66630,67373,67859,68218,68808,70035,70872,71435,71247,71120,70986,71030,70811,70614,70560,70631,70610,70272,70244,70433,70869
