HomeType,Latitude,Longitude,mercator_x,mercator_y,SizeRank,Zip,State,City,Metro,CountyName,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
Four Bedrooms,29.581304,-98.40889,-10954827.524331272,3449843.115559742,995,78247,TX,San Antonio,San Antonio-New Braunfels,Bexar County,124802,124668,124428,124161,123839,123667,123431,123450,123590,123747,123805,123828,123639,123487,123452,123579,123674,123616,123700,123669,123548,123494,123541,123676,124178,124651,125154,125114,125208,125340,125502,125448,125346,125198,125260,125323,125401,125508,125748,126308,127267,128122,128900,129410,130039,130650,131120,131615,131902,132172,132301,132456,131570,130717,129763,129719,129400,129127,128791,128608,128429,128340,128209,127949,127945,127868,128065,127899,128052,128173,128415,128576,128674,128750,128851,129174,129673,130249,130727,131239,131624,131997,132465,132742,132827,132432,132386,132300,132766,133250,133943,134534,134813,135138,135141,135629,136759,138628,140030,141307,141897,142518,142895,143384,144583,145544,146772,147495,148066,148435,149047,149822,150535,151007,151031,151102,150887,151143,151170,151324,151490,152077,152561,152808,152797,153468,154778,156112,157162,157879,158947,160042,161066,161501,161929,162464,163891,164829,165809,166342,167085,167678,168015,168476,168285,167918,167407,167323,167090,166677,165805,165249,164809,164684,164468,164016,163890,163694,163501,162850,161990,161462,161177,160715,160132,159678,159764,159855,159950,160302,160637,161086,161341,161564,161649,161893,161992,161667,160680,160055,159655,159142,158687,158287,158324,157975,157863,157720,158030,158343,158699,158611,158330,158550,159390,160321,160941,161411,161728,161881,161673,161815,162602,163709,165031,165726,165923,165852,165846,166678,167676,169248,170707,172004,172671,173097,173604,174384,175236,176168,177511,178364,179038,179168,179692,180438,181414,182449,182979,184025,184957,186042,186378,187151,188361,189748,190887,191904,192865,193958,195168,195678,196527,197843,199880,201232,201912,202639,203448,203997,204741,206096,208185,210401,211669,212283,212415,213042,213903,214965,216348,217844,219340,219646,219527,219375,220480,221630,223043,224234,225459,226472,226726,227401,227676,229067,230068,231549,232052,232957,233709,234647,235192,235423,235798,235672,236197,236098,236728,236644,237245,237619,238147,238666,239551,240851,242465,244373,246114,248187,250150
Five Bedrooms And More,29.581304,-98.40889,-10954827.524331272,3449843.115559742,995,78247,TX,San Antonio,San Antonio-New Braunfels,Bexar County,153293,153275,152989,152525,151863,151477,151153,150928,150628,150379,150212,150015,149736,149309,149179,149155,149205,149044,148805,148662,148633,148792,148949,149012,149472,149864,150260,150263,150580,150699,151040,151357,151797,151958,152005,152385,152430,152679,152818,153644,154932,156413,157643,158116,158536,158850,159330,159855,160300,160788,161056,161362,160122,158731,157202,157103,156805,156785,156703,156596,156488,156113,156049,155743,156088,156313,156849,156917,157312,157542,157797,157929,157927,157985,157824,158034,158441,159073,159292,159297,159353,159676,160297,160670,161052,160909,161122,161051,161496,161952,163214,164549,165494,165958,165909,166436,167775,170282,172492,174422,175631,176707,177001,177144,177758,178633,179831,180527,180890,180676,180748,180721,180519,180161,179942,180291,180195,180496,180454,180769,180966,181755,182025,182728,183127,184761,186693,188273,190152,191535,193447,194999,196128,196457,196987,197911,199924,200699,201414,201882,202147,202405,202458,203080,203508,203920,204286,204458,204098,203662,202804,202366,201913,201736,201082,200420,199924,199466,198553,197432,196798,196737,196966,196468,196151,195834,196405,196365,196519,196631,197539,198374,198634,198751,198520,198812,198819,198588,197604,196797,196345,195984,195436,194788,194543,193948,193981,194085,194724,195286,195790,196202,196168,196678,197531,198767,199503,200214,200335,200355,199863,199789,200530,201658,203127,203826,204235,204364,204790,205604,206820,208238,209839,211158,211815,212275,212974,214125,215254,216070,217309,218131,219175,220005,221093,222197,223493,224777,225380,226043,226664,227719,228213,229486,230579,231698,232693,234226,235461,236396,237133,237648,238513,240101,242250,243622,244250,244740,245492,245961,247030,248590,251085,253355,255016,255406,255157,255057,256024,257611,258638,258952,259269,259531,259548,259837,260805,262462,264599,266947,268358,269278,269638,270914,271344,272904,273916,275466,275974,277206,277943,278711,278862,279118,279550,279807,280620,280474,280797,280324,280763,280717,281058,281424,282688,284161,286054,287981,290085,292610,295351
Condominium and Co-operative Homes,29.581304,-98.40889,-10954827.524331272,3449843.115559742,995,78247,TX,San Antonio,San Antonio-New Braunfels,Bexar County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97374,97301,97222,97357,97614,97914,97981,97937,97760,97686,97173,96801,96422,96445,96104,95938,95775,96054,95967,95938,95755,95545,95831,95982,96283,96132,96877,96745,96348,95096,94788,94702,95127,95377,95859,96054,95867,95799,95544,95149,94657,94285,94410,94361,94361,94325,93862,93799,93930,94354,94632,95545,96582,97539,97919,98133,98286,98586,99311,99924,100892,101552,101868,101523,101416,102081,103359,104601,105136,105314,105157,105066,104803,104950,105664,106913,107683,108277,108135,108355,108736,109345,110179,111289,112698,113874,114468,114625,115205,115651,116609,117705,119271,120899,121580,121996,121540,121565,122060,123255,124603,125683,126494,126497,126323,126994,129421,131723,133417,134447,135390,135708,134916,134249,134064,135179,136554,136152,135100,134952,137974,140452,142124,142191,142505,141719,140668,138766,137948,138166,138551,137615,134889,132894,131559,131574,131886,132962,134034,135285,135707
Single-family Residences,29.581304,-98.40889,-10954827.524331272,3449843.115559742,995,78247,TX,San Antonio,San Antonio-New Braunfels,Bexar County,107163,107076,106983,106846,106645,106502,106362,106411,106466,106506,106497,106551,106422,106312,106171,106238,106239,106187,106127,106057,106030,106098,106197,106260,106702,107151,107639,107632,107872,108116,108433,108466,108484,108454,108548,108605,108533,108510,108657,109115,109806,110492,111154,111573,111986,112359,112740,113164,113475,113756,113861,114024,113290,112552,111729,111680,111573,111453,111294,111179,111098,111021,110894,110623,110717,110797,110944,110790,110730,110797,110854,110914,110944,110989,111228,111561,111945,112240,112626,113132,113604,114014,114527,114932,115066,114821,114689,114695,115126,115685,116318,116846,117155,117501,117592,117981,118935,120556,121849,122993,123523,124169,124603,125038,125863,126449,127313,127874,128316,128620,129003,129474,129938,130132,130124,130229,130231,130564,130669,130907,131330,131873,132473,132871,133201,133844,134845,135780,136763,137539,138658,139620,140425,140872,141359,141895,143123,144241,145396,146328,147139,147981,148457,149074,149033,148929,148575,148621,148444,148230,147765,147431,147074,146723,146408,145951,145789,145578,145506,145235,144730,144246,143850,143331,142840,142609,142789,143006,143117,143344,143459,143575,143692,143843,143825,143983,144015,143677,142685,141916,141535,141119,140727,140173,139849,139309,139151,138991,139236,139373,139672,139592,139367,139498,140181,141071,141767,142200,142387,142352,142015,142061,142719,143701,144784,145355,145580,145635,145759,146598,147559,148991,150340,151515,152111,152502,153022,153833,154636,155422,156485,157154,157831,157987,158506,159161,160139,161151,161738,162733,163576,164545,164895,165721,166829,168267,169355,170448,171238,172222,173151,173496,174177,175417,177265,178521,178990,179520,180186,180721,181503,182713,184787,186900,188255,188785,188991,189610,190745,191919,193311,194665,196013,196275,196008,195790,196725,197894,199259,200355,201275,202011,202138,202724,203115,204738,205913,207513,207884,208877,209623,210680,211281,211792,212406,212586,213031,212951,213582,213649,214501,214937,215611,216223,217306,218663,220324,222248,224212,226359,228466
One Bedroom,29.552128,-98.36775,-10950247.840480035,3446109.009126065,1024,78233,TX,San Antonio,San Antonio-New Braunfels,Bexar County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76991,76887,76930,76795,76957,77200,77278,77457,77564,78338,79147,80240,81031,81978,83006,84849,86418,87789,89724,91589,93976,95034,96072,96518,97894,99125,99615,98885,97951,98197,98418,98869,98579,98706,98983,99525,99572,99625,100043,100969,102047,102457,102783,102985
Two Bedrooms,29.552128,-98.36775,-10950247.840480035,3446109.009126065,1024,78233,TX,San Antonio,San Antonio-New Braunfels,Bexar County,67783,67825,67784,67768,67691,67658,67687,67739,67835,67987,68166,68364,68257,68136,68052,68148,68201,68255,68202,68270,68269,68249,68171,68132,68573,68944,69268,69231,69409,69500,69601,69486,69401,69253,69165,69024,68850,68778,68891,69167,69464,69722,70072,70316,70560,70773,70959,71065,70983,70942,70812,70759,70206,69711,69014,68726,68547,68443,68508,68575,68686,68599,68484,68300,68327,68393,68630,68863,68968,69159,69033,69027,69072,69427,69897,70260,70669,71032,71409,71632,71828,71985,72343,72698,72683,72327,71895,71808,71760,71727,71753,72008,72117,72204,72198,72445,73159,74171,75142,75794,76460,77135,77796,78043,78639,78936,79552,79694,80113,80253,80486,80976,81658,82577,82954,83382,83657,84366,84803,85189,85435,86217,87049,87453,87410,87169,87596,88386,89325,90155,90902,91944,92618,92658,92392,92425,92799,93011,93223,93491,93884,93974,93887,93624,93344,93247,93347,93531,93593,93799,93819,93435,92591,91799,91294,90832,90446,90041,89558,89069,88483,88063,87340,86645,86068,86041,86319,86650,86722,86651,86674,86715,86920,86718,86713,86767,86847,86322,85324,84517,84118,84022,83756,83263,82724,82298,82039,81933,82116,82463,82739,82597,82131,81680,81549,81816,82086,82237,82250,82148,81786,81441,81490,81901,82584,82845,82951,82874,82865,83336,83965,84649,85204,85668,86025,86287,86718,87524,88470,89304,90181,90681,91093,91295,92186,93528,94975,95967,96504,97433,98277,99075,99704,100397,101226,102343,102873,103233,103009,103615,104373,104870,105357,106242,107223,108346,109193,109817,110414,110640,111723,112644,114202,115415,116400,116929,117440,118040,118787,119627,120859,122532,124008,124899,124940,125127,125826,126787,127836,128636,129517,130441,130924,131547,132014,133480,134660,135934,136314,137575,138525,139865,140291,141020,141647,141811,141686,140987,141170,141300,142054,142059,142339,142522,143459,144244,145364,146813,148726,150886,152868
Three Bedrooms,29.552128,-98.36775,-10950247.840480035,3446109.009126065,1024,78233,TX,San Antonio,San Antonio-New Braunfels,Bexar County,84219,84108,83976,83706,83418,83223,83124,83100,83043,83016,83030,83068,82889,82719,82594,82749,82890,82945,82870,82802,82815,82872,82904,82959,83380,83758,84119,84083,84127,84184,84320,84426,84567,84673,84783,84850,84865,84994,85207,85617,86204,86782,87354,87679,87940,88103,88315,88560,88752,88889,88908,88833,88161,87461,86726,86517,86360,86312,86213,86103,85890,85700,85433,85195,85132,85137,85251,85214,85169,85117,85084,85160,85291,85429,85769,86158,86742,87182,87611,88035,88386,88735,89113,89403,89505,89271,89086,89011,89127,89302,89523,89784,90003,90252,90356,90618,91314,92564,93558,94465,94977,95871,96500,97007,97728,98334,99185,99681,100137,100519,101110,101742,102336,102471,102608,102700,102768,102984,103221,103702,104223,104766,105223,105499,105901,106450,107466,108656,109854,110854,111720,112576,113308,113584,113903,114124,114630,115189,115537,116199,116745,117350,117439,117451,117112,117056,116766,116931,116840,116726,116324,115448,114454,113483,112973,112480,112040,111425,111028,110684,110452,110384,110364,110032,109745,109751,110220,110609,110833,111236,111537,111771,111699,111392,111103,111224,111353,111043,110132,109465,109200,108751,108189,107310,106898,106308,106172,105916,106107,106149,106317,106132,105870,105939,106346,106972,107304,107660,107442,107158,106513,106457,106718,107288,108013,108415,108757,108854,108929,109329,110170,111514,112818,113897,114465,114914,115290,115924,116614,117459,118661,119664,120454,120699,121177,121811,122945,124009,124855,125870,126661,127573,127997,128852,129915,131337,132393,133324,133837,134604,135309,135636,136152,137150,138606,139574,140035,140354,141090,141701,142598,143574,145245,146929,148204,148597,148819,149365,150327,151381,152299,153401,154576,155260,155432,155582,156543,157869,159300,160404,161432,162189,162415,162721,162949,164094,164942,166085,166357,167352,168128,169217,169604,170257,171042,171472,171791,171506,171878,171856,172439,172446,172671,172865,173675,174506,175621,177044,178687,180586,182383
Four Bedrooms,29.552128,-98.36775,-10950247.840480035,3446109.009126065,1024,78233,TX,San Antonio,San Antonio-New Braunfels,Bexar County,102747,102612,102454,102173,101844,101646,101441,101354,101275,101346,101465,101608,101460,101336,101237,101474,101674,101728,101758,101799,101891,101801,101672,101577,102016,102423,102830,102697,102741,102817,103064,103181,103279,103368,103494,103575,103496,103486,103544,103753,104249,104746,105160,105331,105504,105815,106099,106394,106643,106833,107067,107303,106659,105944,105123,104985,104834,104703,104666,104667,104582,104466,104187,103929,104024,104209,104507,104530,104526,104458,104393,104377,104452,104564,104781,104978,105232,105420,105694,106099,106567,107067,107534,107868,107938,107666,107586,107672,107994,108321,108750,109220,109421,109662,109657,110027,110928,112532,113871,115053,115866,116956,117626,118169,119065,119690,120594,121071,121452,121580,121768,122229,122721,122688,122713,122490,122474,122594,122796,123144,123611,124368,125115,125542,125864,126679,127815,129189,130251,131597,132986,134232,135212,135544,136036,136413,137264,138119,138945,140103,140979,141307,141053,141080,140882,140743,140197,140104,139865,139394,138653,137414,136362,135604,135210,134677,134061,133490,133110,132738,132263,131861,131491,130987,130774,130786,131199,131371,131662,131951,132178,132247,132391,132555,132609,132752,132479,131903,130784,129978,129267,128549,127921,127232,126660,125808,125387,125238,125746,126004,126285,126203,126183,126508,127174,127835,128099,128272,128230,128209,127682,127741,128156,129006,129929,130488,130801,131138,131786,132990,134247,135348,136460,137315,138061,138586,139070,139705,140316,141038,142072,142842,143595,144210,145132,146140,147197,148223,148948,149978,150966,152012,152375,153033,154011,155365,156352,157119,157509,158086,158682,159023,159610,160683,162122,163095,163227,163291,163561,164062,164875,165987,167778,169406,170405,170439,170528,171044,172172,173368,174602,175746,176878,177268,177353,177404,178432,179786,181277,182399,183381,184003,184270,184622,184979,186204,187101,188522,189068,190151,190927,191919,192464,193196,193766,194248,194683,194960,195581,195634,196155,196412,196903,197444,198408,199510,201016,202686,204519,206348,208306
Five Bedrooms And More,29.552128,-98.36775,-10950247.840480035,3446109.009126065,1024,78233,TX,San Antonio,San Antonio-New Braunfels,Bexar County,118588,118418,118233,117597,116852,116288,116069,116249,116622,117022,117410,117606,117446,117075,116772,117233,117953,118561,118985,119025,118743,118605,118593,118987,119808,121038,122291,122923,123237,123303,123040,122687,122642,122385,122097,121629,121527,121130,120428,119791,119855,120353,120948,121440,121803,122368,122952,123789,124225,124575,125174,126308,126625,126438,125773,125709,125814,125796,125963,125876,125915,126011,126029,125083,124092,123329,123392,123548,123512,123718,123711,123826,123932,123875,124025,124781,125767,126713,127513,128188,128866,129067,129393,129426,129243,128975,128913,128719,128875,128964,129107,129094,128905,129286,129491,130701,132204,134403,135896,137418,138449,139803,140923,142119,143948,144788,145875,146047,146573,146553,146633,147242,148211,148913,149581,149465,148959,149134,149509,149898,150001,150894,152369,153300,153507,153758,153836,155124,156872,159011,160754,162371,164093,165059,165643,165811,166766,168109,169825,171028,171628,171975,172394,173011,172837,172443,171942,172262,172403,172236,171567,170963,170136,169218,168202,167376,166947,166424,166109,165304,164692,163770,163478,162978,163142,163174,163245,162789,161984,161587,161244,161446,161176,161382,161007,161107,160571,160081,159258,159001,159248,159179,158852,158058,157652,156920,156625,156139,156198,156153,156324,156132,155754,155787,156256,156806,157088,156903,156720,155863,155097,154578,155331,156312,157468,158389,159150,159946,160771,162687,164501,167271,169371,171418,172008,172602,173336,174102,174740,175550,176978,177815,178546,178941,180014,181115,182203,183075,183487,184496,185586,186626,186923,187404,188222,189162,189971,190730,191399,192334,192995,193092,193430,194404,195998,197091,197527,197424,197450,197378,198359,199365,201416,203110,203823,203404,202563,202534,203184,204540,205635,206717,207089,207042,206690,206875,208424,210422,212320,213795,214667,215208,215112,215270,215566,217032,217998,219048,218942,219781,220578,221437,221741,222369,223233,223845,224527,224761,225564,225847,226689,226897,227349,227917,229199,230366,231821,233467,235229,236984,238746
Condominium and Co-operative Homes,29.552128,-98.36775,-10950247.840480035,3446109.009126065,1024,78233,TX,San Antonio,San Antonio-New Braunfels,Bexar County,126112,126006,126060,125897,125628,125256,124852,124702,124759,124947,124708,124278,123398,122995,122308,122184,121800,121499,121230,120929,120584,120436,120577,120940,121541,122078,122783,123107,123689,124224,124751,124826,124561,123581,123060,122652,122980,122182,121343,120421,120542,120888,121183,121230,121188,121441,121586,121682,121467,121756,121910,121498,119679,118121,117270,117585,118233,118557,119122,119017,118972,118611,118598,118921,119623,119948,119318,117587,116170,115533,114590,114179,113947,115015,115593,115956,115873,115769,116114,117041,117498,117665,117777,118327,118032,116212,114304,113133,113129,113325,113500,113937,113843,113717,113108,113029,113972,115901,117984,119233,119893,120417,120749,120475,121384,122231,123782,123983,123701,123119,122510,122569,122801,123180,123611,123965,124052,124160,124049,123858,123856,124313,125234,126197,126663,127241,127833,128785,129544,130155,130805,131674,131724,130686,129841,128961,128538,127513,126983,126108,124668,123243,122786,122981,123275,123378,122694,121851,120785,120150,119262,118947,118948,118412,116471,113996,112327,111757,111691,111774,111744,111412,110277,108532,106605,105958,105912,106275,106225,105602,105158,104280,103931,103894,104048,104039,104135,103672,103038,102097,101079,100171,98315,96655,94774,92919,91377,90973,91292,91679,91408,91076,90756,90733,91044,91641,91799,91707,91955,91202,90005,88501,88227,88020,88247,87956,88226,88118,88565,89524,90267,91387,91895,92605,92639,92930,93068,93918,94501,94991,96045,96453,97225,97013,97899,98843,100450,101694,102831,103528,104220,105301,104778,104456,103584,103986,103728,103534,103054,103066,102408,101736,101047,100896,101520,102611,103660,104673,105646,106823,107808,108516,109947,111302,112472,112629,112670,112251,112021,111976,113055,113784,114445,114412,114001,113650,113406,113956,114870,115526,116326,116608,116559,115907,114915,114608,114846,115610,115887,116087,116085,116551,116842,117702,117547,116865,115848,115209,115625,115485,115871,115740,115689,115590,115602,115479,116094,117531,119477,121100,121821
Single-family Residences,29.552128,-98.36775,-10950247.840480035,3446109.009126065,1024,78233,TX,San Antonio,San Antonio-New Braunfels,Bexar County,88661,88554,88411,88110,87777,87554,87437,87418,87380,87390,87436,87506,87340,87163,87029,87214,87382,87438,87355,87273,87253,87242,87233,87250,87686,88082,88478,88448,88546,88668,88862,88976,89120,89248,89356,89428,89407,89522,89700,90069,90610,91140,91677,91999,92286,92489,92731,92993,93211,93361,93422,93416,92754,92051,91286,91083,90910,90860,90808,90737,90537,90307,90013,89744,89706,89743,89913,89909,89880,89812,89730,89779,89923,90124,90488,90879,91414,91817,92197,92567,92913,93272,93695,93990,94081,93811,93627,93566,93725,93940,94228,94578,94822,95118,95195,95481,96197,97540,98586,99545,100117,101058,101717,102222,102981,103538,104373,104856,105325,105618,106157,106786,107394,107513,107597,107651,107726,108000,108325,108837,109395,110049,110593,110864,111172,111692,112675,113819,114889,115870,116742,117612,118282,118504,118820,119136,119777,120490,121064,121965,122739,123379,123484,123575,123395,123410,123089,123159,123014,122805,122293,121299,120263,119342,118866,118357,117906,117315,117007,116718,116527,116479,116439,116114,115799,115773,116183,116524,116712,117059,117261,117420,117351,117092,116843,116957,117057,116753,115827,115117,114727,114216,113667,112834,112360,111663,111448,111166,111405,111488,111721,111591,111389,111504,111938,112545,112823,113135,112927,112732,112114,112046,112301,112905,113662,114063,114375,114564,114843,115473,116421,117664,118885,119860,120431,120845,121234,121844,122494,123229,124318,125220,126010,126332,126893,127583,128633,129639,130402,131484,132388,133385,133751,134466,135406,136783,137805,138723,139248,140044,140807,141108,141590,142547,144021,145038,145455,145751,146406,147009,147895,148892,150541,152164,153321,153590,153762,154305,155362,156426,157391,158451,159579,160165,160290,160421,161414,162807,164302,165465,166456,167140,167302,167596,167899,169095,169987,171220,171601,172630,173383,174395,174766,175441,176193,176662,176946,176738,177123,177077,177610,177624,177891,178165,179042,179953,181188,182676,184409,186347,188240
One Bedroom,29.466781,-98.52519,-10967773.981110528,3435192.0090237805,1307,78201,TX,San Antonio,San Antonio-New Braunfels,Bexar County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45242,45464,45697,45793,45662,45535,45729,46216,46812,47700,48360,48747,48886,49169,49339,49829,50574,51532,51813,51534,50904,49998,49343,49137,49126,48937,48607,48572,48494,48070,47981,48134,48481,48473,48471,48262,48408,47977,47786,47091,46702,46226,45637,44825,44139,43719,43555,43605,43354,43231,42959,42835,42776,42675,42487,42426,42413,42588,42388,41890,41268,40891,40316,39915,39498,39836,40291,40581,40569,40263,40019,39457,39310,39305,39768,40099,40241,40111,40040,40351,40926,41431,41996,42974,44016,44833,45375,45899,46605,47133,47657,48087,48348,49036,49653,50323,50486,50593,50868,51110,51400,51266,51287,50947,51004,50878,51284,51749,52062,52098,52127,52323,52485,52882,53163,53524,53589,53511,53003,52591,52979,54186,55189,55871,56090,56557,56774,57742,58763,60363,61655,62511,63048,62943,63208,63697,65363,66629,68222,68762,69411,69520,69718,70493,70645,71522,71816,72347,72146,72518,73110,73663,74232,74601,75382,76031,77409,78939,80271,81845,82392,82445,81564,81305,81260,80943,80668,80116,79824,78890,78370,77572,77671,77944,78743,79367,79843,80783,81559
